Team_Name,Player_Name,Uploaded_Date,Category_Name,Format_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Benedictine (IL) Eagles,Kyle Graebner,2019-1-15,Play Types,Defensive,Overall,10.5%,8.6,8.9,1.032,18%,Below Average,3.2,2.8,6.1,46.8%,59.2%,18.7%,12.9%,9.7%,"43.2%
"
Benedictine (IL) Eagles,Kenny Bogus,2019-1-15,Play Types,Defensive,Overall,9.4%,7.7,5.7,0.741,75%,Very Good,4.2,2,6.2,32.4%,40.5%,15.1%,6.5%,6.5%,"30.2%
"
Benedictine (IL) Eagles,Bryan Jacobsze,2019-1-15,Play Types,Defensive,Overall,8.4%,7.4,6.8,0.928,36%,Average,3.5,2.5,6,42.2%,50%,11.2%,8.8%,7.2%,"41.6%
"
Benedictine (IL) Eagles,Eric Grygo,2019-1-15,Play Types,Defensive,Overall,7.2%,5.9,4.2,0.708,81%,Very Good,3.5,1.6,5.1,30.8%,35.7%,7.5%,6.6%,6.6%,"32.1%
"
Benedictine (IL) Eagles,Michael Johnson,2019-1-15,Play Types,Defensive,Overall,4.7%,5.4,4.8,0.886,45%,Average,2.2,1.8,4,44.2%,49%,15.7%,11.4%,5.7%,"41.4%
"
Benedictine (IL) Eagles,Carl Singletary,2019-1-15,Play Types,Defensive,Overall,3.2%,2.8,2.1,0.75,74%,Very Good,1.4,0.8,2.1,36.1%,44.4%,20.8%,4.2%,4.2%,"31.3%
"
Benedictine (IL) Eagles,Hayden Helfrich,2019-1-15,Play Types,Defensive,Overall,3.2%,3.9,3.4,0.872,48%,Average,1.9,1.3,3.2,39.5%,50%,14.9%,6.4%,4.3%,"36.2%
"
Benedictine (IL) Eagles,Kyle Hornacek,2019-1-15,Play Types,Defensive,Overall,2.6%,3.3,2.8,0.872,48%,Average,1.1,1.1,2.2,50%,53.8%,23.1%,12.8%,12.8%,"41%
"
Benedictine (IL) Eagles,Keegan Graebner,2019-1-15,Play Types,Defensive,Overall,2.6%,2.8,2.4,0.846,54%,Good,1.1,0.5,1.6,30.4%,41.3%,17.9%,23.1%,20.5%,"41%
"
Benedictine (IL) Eagles,Collin Mergl,2019-1-15,Play Types,Defensive,Overall,2.6%,2.2,1.3,0.615,91%,Excellent,1,0.4,1.4,30.8%,34.6%,15.4%,17.9%,10.3%,"28.2%
"
Benedictine (IL) Eagles,Jaquan Phipps,2019-1-15,Play Types,Defensive,Overall,2.3%,2.6,1.8,0.676,85%,Excellent,1.3,0.5,1.8,29.2%,35.4%,20.6%,11.8%,5.9%,"29.4%
"
Benedictine (IL) Eagles,Derrick Faulkner,2019-1-15,Play Types,Defensive,Overall,2.2%,4,4.1,1.031,18%,Below Average,1.9,1.4,3.3,42.3%,51.9%,9.4%,9.4%,6.3%,"43.8%
"
Benedictine (IL) Eagles,Marques Barnes,2019-1-15,Play Types,Defensive,Overall,1.1%,2.3,3.4,1.5,1%,Poor,0.9,1.1,2,57.1%,71.4%,0%,12.5%,6.3%,"62.5%
"
Benedictine (IL) Eagles,Troy Burrows,2019-1-15,Play Types,Defensive,Overall,0.9%,4.3,3.3,0.769,70%,Very Good,1.7,1.3,3,44.4%,55.6%,30.8%,0%,0%,"30.8%
"
Benedictine (IL) Eagles,Gio Calabrese,2019-1-15,Play Types,Defensive,Overall,0.4%,0.9,0.7,0.833,-,-,0.3,0.3,0.6,50%,62.5%,33.3%,0%,0%,"33.3%
"
Benedictine (IL) Eagles,Justis McNeal,2019-1-15,Play Types,Defensive,Overall,0.4%,1.2,1.4,1.167,-,-,0.4,0.4,0.8,50%,62.5%,16.7%,16.7%,16.7%,"50%
"
Benedictine (IL) Eagles,Walter Taylor,2019-1-15,Play Types,Defensive,Overall,0.3%,1,1.5,1.5,-,-,0,0.3,0.3,100%,150%,25%,50%,0%,"75%
"
Benedictine (IL) Eagles,Isaiah Gransberry,2019-1-15,Play Types,Defensive,Overall,0.1%,0.5,0,0,-,-,0,0,0,-,-,0%,100%,0%,"0%
"
Benedictine (IL) Eagles,Mason Sobiesk,2019-1-15,Play Types,Defensive,Overall,0.1%,0.3,0,0,-,-,0.3,0,0.3,0%,0%,0%,0%,0%,"0%
"
Benedictine (IL) Eagles,Kenny Bogus,2019-1-15,Play Types,Defensive,Spot Up,19%,3.7,2.4,0.667,85%,Excellent,2.1,0.8,2.9,26.9%,39.4%,16.7%,4.5%,4.5%,"24.2%
"
Benedictine (IL) Eagles,Bryan Jacobsze,2019-1-15,Play Types,Defensive,Spot Up,17.2%,3.5,3.9,1.1,21%,Below Average,1.6,1.4,3,45.1%,57.8%,8.3%,8.3%,8.3%,"45%
"
Benedictine (IL) Eagles,Kyle Graebner,2019-1-15,Play Types,Defensive,Spot Up,13.2%,2.6,3.6,1.413,3%,Poor,0.8,1.2,1.9,60%,81.4%,13%,10.9%,10.9%,"56.5%
"
Benedictine (IL) Eagles,Eric Grygo,2019-1-15,Play Types,Defensive,Spot Up,11.2%,2.2,2.2,1.026,31%,Average,1.1,0.8,1.9,42.9%,54.3%,7.7%,2.6%,2.6%,"41%
"
