Team_Name,Uploaded_Date,Format_Name,Category_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Benedictine (IL) Eagles,2019-1-15,Defensive,Overall Defense,Overall,100%,82.2,72.1,0.876,52%,Good,33,25.2,58.2,43.3%,49.7%,17.5%,13.3%,9.1%,"40.6%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Overall Defense,Transition,16.6%,13.6,12.8,0.939,70%,Very Good,5.4,4.5,9.9,45.3%,49.7%,13.5%,16.3%,13.1%,"44.5%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Overall Defense,Overall Half Court,83.4%,68.6,59.3,0.864,45%,Average,27.6,20.7,48.3,42.9%,49.7%,18.3%,12.7%,8.3%,"39.8%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Overall Defense,Short Shot Clock <4 Seconds,4.5%,3.7,3.7,1,4%,Poor,1.7,1.4,3.1,45.5%,54.5%,12.1%,4.5%,3%,"42.4%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Overall Defense,Out of Bounds (End),9%,6.2,5.6,0.91,27%,Below Average,2.7,2.1,4.8,43%,51.2%,16.2%,8.1%,7.2%,"39.6%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Overall Defense,Out of Bounds (Side),4.4%,3,3,1,11%,Poor,1.3,1.1,2.3,45.2%,52.4%,9.3%,13%,9.3%,"46.3%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Overall Defense,After Time Outs,12.8%,8.8,6.9,0.785,71%,Very Good,3.7,2.6,6.2,41.1%,47.3%,21.5%,7.6%,3.2%,"36.1%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Overall Defense,Man Defense,99.4%,68.2,58.8,0.863,42%,Average,27.4,20.6,48.1,42.9%,49.6%,18.3%,12.6%,8.3%,"39.8%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Overall Defense,Zone Defense,0.6%,0.4,0.4,1,-,-,0.1,0.1,0.2,50%,75%,25%,25%,0%,"50%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Overall Defense,Press Defense,7.8%,5.3,4.4,0.833,51%,Good,1.8,1.5,3.3,45.8%,54.2%,25%,14.6%,3.1%,"39.6%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Play Types,Spot Up,23.5%,19.3,18.3,0.948,30%,Below Average,9.9,6.3,16.2,38.8%,51.9%,11.2%,5.5%,5.2%,"37.4%
"
Benedictine (IL) Eagles,2019-1-15,Defensive,Play Types,Transition,16.6%,13.6,12.8,0.939,70%,Very Good,5.4,4.5,9.9,45.3%,49.7%,13.5%,16.3%,13.1%,"44.5%
"
