Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Player_ID,Category_ID,Format_ID,Element_ID
12/23/2018,0.088,7.3,5.7,0.788,0.63,Good,4.1,1.8,5.9,0.308,0.408,0.1,0.1,0.075,0.33,124,2,2,1
12/23/2018,0.084,6.9,5.4,0.776,0.65,Very Good,3.1,1.8,4.9,0.37,0.426,0.184,0.118,0.079,0.35,134,2,2,1
12/23/2018,0.059,4.4,3.1,0.698,0.79,Very Good,2.4,1.2,3.6,0.326,0.36,0.113,0.094,0.057,0.34,127,2,2,1
12/23/2018,0.05,4.5,2.9,0.644,0.85,Excellent,2.7,1,3.7,0.27,0.297,0.111,0.089,0.089,0.29,138,2,2,1
12/23/2018,0.042,3.8,2.5,0.658,0.84,Excellent,1.8,0.9,2.7,0.333,0.407,0.184,0.105,0.053,0.29,128,2,2,1
12/23/2018,0.039,2.9,2.5,0.857,0.49,Average,1.8,0.9,2.8,0.333,0.424,0.029,0.029,0,0.34,136,2,2,1
12/23/2018,0.035,2.7,2.3,0.844,0.52,Good,1.5,0.8,2.3,0.333,0.389,0.063,0.094,0.094,0.38,130,2,2,1
12/23/2018,0.023,1.8,1.4,0.81,0.58,Good,0.8,0.5,1.3,0.4,0.467,0.19,0.095,0.048,0.38,131,2,2,1
12/23/2018,0.015,1.4,1,0.714,0.76,Very Good,0.8,0.4,1.2,0.333,0.375,0.071,0.071,0.071,0.36,142,2,2,1
12/23/2018,0.012,0.9,0.7,0.727,0.74,Very Good,0.6,0.2,0.8,0.222,0.333,0.091,0.091,0,0.27,140,2,2,1
12/23/2018,0.01,0.9,0.4,0.444,-,-,0.6,0.1,0.7,0.143,0.143,0.111,0.111,0.111,0.22,141,2,2,1
12/23/2018,0.006,1.3,0.8,0.6,-,-,0.5,0.3,0.8,0.333,0.333,0.2,0.2,0.2,0.4,135,2,2,1
12/23/2018,0.006,1,1,1,-,-,0.4,0.4,0.8,0.5,0.625,0.2,0,0,0.4,137,2,2,1
12/23/2018,0.003,0.8,0,0,-,-,0.8,0,0.8,0,0,0,0,0,0,132,2,2,1
12/23/2018,0.002,0.7,1.3,2,-,-,0,0.7,0.7,1,1,0,0,0,1,129,2,2,1
12/23/2018,0.001,1,2,2,-,-,0,1,1,1,1,0,0,0,1,139,2,2,1
12/23/2018,0.098,8.8,6.6,0.752,0.69,Very Good,4.5,2.6,7.1,0.365,0.424,0.143,0.067,0.057,0.33,81,2,2,1
12/23/2018,0.083,7.4,5.3,0.708,0.77,Very Good,3.8,2,5.8,0.343,0.4,0.135,0.079,0.045,0.34,74,2,2,1
12/23/2018,0.074,6.7,5.9,0.888,0.43,Average,3.1,2.4,5.5,0.439,0.477,0.1,0.113,0.113,0.41,85,2,2,1
12/23/2018,0.066,5.9,4.4,0.746,0.71,Very Good,2.8,1.8,4.5,0.389,0.417,0.169,0.099,0.085,0.35,75,2,2,1
12/23/2018,0.065,7,5,0.714,0.76,Very Good,3.2,1.8,5,0.36,0.42,0.157,0.129,0.086,0.33,82,2,2,1
12/23/2018,0.047,10.2,9.6,0.941,0.33,Average,4.4,3.4,7.8,0.436,0.551,0.176,0.059,0.039,0.39,76,2,2,1
12/23/2018,0.034,3.7,3,0.811,0.58,Good,2.3,0.9,3.2,0.281,0.359,0.054,0.135,0.108,0.32,80,2,2,1
12/23/2018,0.025,2.5,2.4,0.963,0.3,Below Average,1,1.1,2.1,0.522,0.565,0.148,0.037,0.037,0.44,86,2,2,1
12/23/2018,0.021,2.9,3.6,1.261,0.05,Poor,1.1,1,2.1,0.471,0.618,0.087,0.217,0.217,0.52,78,2,2,1
12/23/2018,0.013,2,2.6,1.286,0.04,Poor,0.7,1.1,1.9,0.615,0.692,0.071,0,0,0.57,83,2,2,1
12/23/2018,0.01,1.4,1.1,0.818,0.57,Good,0.5,0.5,1,0.5,0.563,0.273,0,0,0.36,73,2,2,1
12/23/2018,0.007,1.2,0.8,0.714,-,-,0.7,0.2,0.8,0.2,0.2,0,0.286,0,0.43,77,2,2,1
12/23/2018,0.007,1.8,1.8,1,-,-,0.8,0.8,1.5,0.5,0.5,0,0.143,0,0.57,79,2,2,1
12/23/2018,0.001,0.3,0.5,2,-,-,0,0,0,-,-,0,1,1,1,84,2,2,1
12/23/2018,0.082,7,5.4,0.769,0.67,Very Good,3.7,2.1,5.8,0.36,0.433,0.121,0.077,0.066,0.33,102,2,2,1
12/23/2018,0.057,4.8,4.7,0.968,0.29,Below Average,2.2,1.6,3.8,0.429,0.52,0.127,0.111,0.063,0.43,92,2,2,1
12/23/2018,0.096,8.2,5.5,0.673,0.82,Very Good,4.3,2.1,6.4,0.325,0.404,0.187,0.047,0.028,0.29,88,2,2,1
12/23/2018,0.083,8.4,7.5,0.902,0.4,Average,3.5,2.7,6.2,0.441,0.537,0.217,0.054,0.043,0.37,96,2,2,1
12/23/2018,0.057,4.9,4.4,0.891,0.43,Average,2.2,1.5,3.6,0.404,0.479,0.156,0.141,0.125,0.41,87,2,2,1
12/23/2018,0.058,5,4.5,0.908,0.4,Average,2.8,1.8,4.6,0.383,0.442,0.031,0.077,0.077,0.39,95,2,2,1
12/23/2018,0.028,2.4,2.3,0.968,0.29,Below Average,0.8,0.8,1.6,0.476,0.595,0.194,0.161,0.097,0.42,91,2,2,1
12/23/2018,0.049,4.2,3.5,0.836,0.53,Good,2.1,1.2,3.3,0.372,0.453,0.145,0.109,0.091,0.34,99,2,2,1
12/23/2018,0.031,2.7,2,0.743,0.71,Very Good,1.3,0.6,1.9,0.32,0.38,0.143,0.171,0.057,0.37,101,2,2,1
12/23/2018,0.006,0.8,1.1,1.429,-,-,0.1,0.4,0.6,0.8,0.8,0.143,0.143,0.143,0.71,89,2,2,1
12/23/2018,0.008,0.9,0.9,1,-,-,0.5,0.2,0.7,0.286,0.429,0,0.222,0.222,0.44,103,2,2,1
12/23/2018,0.003,0.5,0.8,1.667,-,-,0.2,0.3,0.5,0.667,0.833,0,0,0,0.67,100,2,2,1
12/23/2018,0.003,0.6,0.6,1,-,-,0.2,0.2,0.4,0.5,0.75,0,0.333,0.333,0.33,104,2,2,1
12/23/2018,0.002,0.4,0.4,1,-,-,0,0.2,0.2,1,1,0.5,0,0,0.5,90,2,2,1
12/23/2018,0.006,1.2,1.5,1.286,-,-,0.3,0.5,0.8,0.6,0.7,0.143,0.143,0.143,0.57,105,2,2,1
12/23/2018,0.004,0.7,1.3,2,-,-,0.2,0.5,0.7,0.75,1,0,0,0,0.75,93,2,2,1
12/23/2018,0.004,1.3,2,1.6,-,-,0.3,0.8,1,0.75,0.875,0,0.2,0.2,0.8,97,2,2,1
12/23/2018,0.002,0.5,0,0,-,-,0.3,0,0.3,0,0,0.5,0,0,0,106,2,2,1
12/23/2018,0.001,0.3,0,0,-,-,0.3,0,0.3,0,0,0,0,0,0,98,2,2,1
12/23/2018,0.075,6.3,6.4,1.02,0.21,Below Average,3,2.5,5.5,0.455,0.557,0.1,0.02,0.02,0.42,34,2,2,1
12/23/2018,0.081,6.8,6.8,1,0.23,Below Average,3,2.4,5.4,0.442,0.535,0.13,0.074,0.056,0.43,33,2,2,1
12/23/2018,0.074,6.1,4.6,0.755,0.69,Very Good,3.4,1.6,5,0.325,0.413,0.143,0.061,0.061,0.31,36,2,2,1
12/23/2018,0.077,6.4,3.3,0.51,0.95,Excellent,3.3,1.1,4.4,0.257,0.329,0.235,0.098,0.039,0.22,26,2,2,1
12/23/2018,0.089,7.4,7,0.949,0.32,Average,4,2.3,6.3,0.36,0.48,0.102,0.085,0.085,0.36,25,2,2,1
12/23/2018,0.033,2.8,3.1,1.136,0.11,Poor,1.3,1,2.3,0.444,0.556,0.091,0.136,0.136,0.46,24,2,2,1
12/23/2018,0.032,2.6,1.8,0.667,0.83,Excellent,1.1,0.6,1.8,0.357,0.429,0.238,0.095,0.095,0.29,29,2,2,1
12/23/2018,0.059,4.9,4.9,1,0.23,Below Average,2.1,1.6,3.8,0.433,0.533,0.154,0.103,0.051,0.41,22,2,2,1
