Game_ID,Score_Dif,Session_num,Time
6,3,1,18.766666666666666
6,0,1,18.383333333333333
6,3,1,17.95
6,0,1,17.666666666666668
6,-2,1,17.1
6,-4,1,16.633333333333333
6,-6,1,16.3
6,-6,1,15.566666666666666
6,-8,1,15.416666666666666
6,-5,1,14.233333333333333
6,-6,1,13.666666666666666
6,-4,1,13.233333333333333
6,-1,1,12.233333333333333
6,2,1,11.75
6,0,1,11.15
6,-2,1,10.45
6,-4,1,10.0
6,-3,1,9.45
6,-1,1,9.266666666666667
6,-3,1,8.983333333333333
6,-1,1,8.566666666666666
6,1,1,7.05
6,3,1,6.666666666666667
6,1,1,6.4
6,-1,1,5.7
6,1,1,5.433333333333334
6,3,1,4.983333333333333
6,5,1,4.65
6,7,1,3.65
6,9,1,2.966666666666667
6,11,1,1.75
6,13,2,19.55
6,11,2,19.15
6,9,2,18.116666666666667
6,7,2,17.316666666666666
6,5,2,16.916666666666668
6,7,2,16.466666666666665
6,4,2,15.933333333333334
6,2,2,15.6
6,0,2,14.716666666666667
6,3,2,14.166666666666666
6,5,2,13.65
6,3,2,13.2
6,1,2,12.4
6,-1,2,11.466666666666667
6,-4,2,11.016666666666667
6,-6,2,10.1
6,-8,2,9.866666666666667
6,-7,2,8.9
6,-4,2,7.816666666666666
6,-5,2,6.75
6,-3,2,4.766666666666667
6,-5,2,3.033333333333333
6,-7,2,2.3666666666666667
6,-9,2,1.4833333333333334
6,-7,2,1.2833333333333332
6,-9,2,1.0833333333333333
6,-10,2,0.8833333333333333
6,-11,2,0.85
6,-13,2,0.65
6,-10,2,0.5666666666666667
