Team_Name,Uploaded_Date,Format_Name,Category_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Lakeland (WI) Muskies,2019-01-26,Offensive,Jump Shot Range - half court,Medium (17' to <3 point line),0.1,3.1,1.7,0.56,0.2,Below Average,2.3,0.8,3.1,0.27,0.27,0,0.02,0.02,0.27
Lakeland (WI) Muskies,2019-01-26,Offensive,Jump Shot Range - half court,Long (3 point jump shots),0.71,21.9,21.8,0.99,0.47,Average,14.7,7.3,21.9,0.33,0.5,0,0,0,0.33
Benedictine (IL) Eagles,2019-01-26,Offensive,Overall Offense,Overall,1,81.1,71.5,0.88,0.52,Good,32.4,25.7,58.1,0.44,0.5,0.18,0.13,0.09,0.41
Benedictine (IL) Eagles,2019-01-26,Offensive,Overall Offense,Transition,0.13,10.9,11.4,1.04,0.76,Very Good,3.7,3.9,7.6,0.52,0.57,0.15,0.19,0.17,0.5
Benedictine (IL) Eagles,2019-01-26,Offensive,Overall Offense,Overall Half Court,0.87,70.2,60.1,0.86,0.51,Good,28.8,21.8,50.6,0.43,0.49,0.18,0.13,0.08,0.39
Benedictine (IL) Eagles,2019-01-26,Offensive,Overall Offense,Short Shot Clock <4 Seconds,0.04,2.9,1.5,0.51,0.12,Poor,1.9,0.5,2.4,0.21,0.25,0.11,0.07,0.05,0.23
Benedictine (IL) Eagles,2019-01-26,Offensive,Overall Offense,Out of Bounds (End),0.08,5.3,4.3,0.81,0.46,Average,2.3,1.7,4,0.43,0.46,0.14,0.12,0.08,0.39
Benedictine (IL) Eagles,2019-01-26,Offensive,Overall Offense,Out of Bounds (Side),0.05,3.4,2.3,0.67,0.23,Below Average,1.7,0.9,2.5,0.34,0.37,0.19,0.08,0.05,0.31
Benedictine (IL) Eagles,2019-01-26,Offensive,Overall Offense,After Time Outs,0.13,8.8,7.6,0.86,0.59,Good,3.6,3.1,6.7,0.46,0.5,0.19,0.08,0.06,0.39
Benedictine (IL) Eagles,2019-01-26,Offensive,Overall Offense,Against Man,0.95,66.9,56.4,0.84,0.48,Average,27.9,20.5,48.4,0.42,0.48,0.18,0.12,0.08,0.39
Benedictine (IL) Eagles,2019-01-26,Offensive,Overall Offense,Against Zone,0.05,3.3,3.8,1.15,0.95,Excellent,0.9,1.3,2.2,0.59,0.69,0.22,0.14,0.06,0.49
Benedictine (IL) Eagles,2019-01-26,Offensive,Overall Offense,Press Offense,0.08,5.5,4.2,0.77,0.37,Average,1.7,1.5,3.2,0.47,0.53,0.3,0.13,0.04,0.37
Benedictine (IL) Eagles,2019-01-26,Offensive,Play Types,Spot Up,0.22,18.1,16.7,0.92,0.58,Good,10.2,5.9,16.1,0.37,0.49,0.08,0.05,0.03,0.36
Benedictine (IL) Eagles,2019-01-26,Offensive,Play Types,Transition,0.13,10.9,11.4,1.04,0.76,Very Good,3.7,3.9,7.6,0.52,0.57,0.15,0.19,0.17,0.5
Benedictine (IL) Eagles,2019-01-26,Offensive,Play Types,P&R Ball Handler,0.11,9.2,6,0.65,0.22,Below Average,4.1,2.4,6.5,0.36,0.39,0.24,0.07,0.06,0.32
Benedictine (IL) Eagles,2019-01-26,Offensive,Play Types,Post-Up,0.1,7.7,7.3,0.95,0.84,Excellent,2.6,3.1,5.6,0.55,0.55,0.15,0.16,0.1,0.5
Benedictine (IL) Eagles,2019-01-26,Offensive,Play Types,Off Screen,0.09,7.2,6.4,0.89,0.53,Good,3.7,2.2,5.9,0.37,0.46,0.11,0.09,0.07,0.36
Benedictine (IL) Eagles,2019-01-26,Offensive,Play Types,Cut,0.08,6.4,7.3,1.14,0.72,Very Good,1.9,3.1,5,0.62,0.62,0.11,0.17,0.16,0.56
Benedictine (IL) Eagles,2019-01-26,Offensive,Play Types,Offensive Rebounds (put backs),0.06,4.8,5.2,1.08,0.58,Good,1.7,2.1,3.8,0.55,0.55,0.08,0.2,0.19,0.53
