Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Pts,Stl,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,Player_ID
0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,1,1,0,0,0,0,0,20,16,1,2,0,0,0,0,1,0,1,1,0,133
0,0,0,0,0,0,0,0,0,1,20,17,0,0,0,0,0,0,0,1,0,0,0,133
0,0,0,0,0,0,0,0,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,1,1,0,0,0,0,0,20,20,0,2,0,0,0,0,0,0,1,1,0,133
0,0,0,0,0,0,0,0,0,0,20,21,0,0,2,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,0,133
0,0,0,0,0,0,0,0,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,133
1,0,2,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,2,0,0,0,0,134
0,0,1,1,0,1,0,0,0,0,20,2,0,0,0,0,0,0,1,0,1,0,1,134
0,0,0,0,0,0,2,2,0,0,20,5,0,2,0,0,0,0,0,0,0,0,0,134
0,0,0,1,0,1,0,0,0,0,20,6,0,0,1,0,0,0,0,0,1,0,1,134
0,1,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,1,0,0,0,134
0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,134
0,1,2,1,1,0,0,0,0,1,20,12,1,2,0,0,0,0,3,2,1,1,0,134
0,0,0,0,0,0,0,0,0,2,20,13,0,0,0,0,0,0,0,0,0,0,0,134
0,0,1,2,0,2,2,1,1,0,20,16,1,1,0,0,0,0,2,0,2,0,2,134
0,0,1,0,0,0,0,0,0,0,20,17,0,0,1,0,0,0,1,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,134
0,0,1,0,0,0,0,0,0,1,20,20,0,0,0,0,0,0,1,1,0,0,0,134
1,1,0,2,2,0,2,1,1,0,20,21,0,5,1,0,0,0,0,0,2,2,0,134
0,0,0,0,0,0,0,0,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,134
1,0,0,1,1,0,0,0,0,1,20,1,0,3,0,1,1,0,0,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,138
0,0,1,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,1,0,0,0,0,138
0,0,2,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,2,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,1,0,1,0,0,0,0,20,12,0,0,0,0,0,0,0,0,1,0,1,138
1,0,0,0,0,0,0,0,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,138
0,0,0,2,0,2,0,0,0,0,20,19,0,0,0,1,0,1,0,0,1,0,1,138
0,0,1,0,0,0,0,0,0,0,20,22,0,0,0,0,0,0,1,0,0,0,0,138
0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,1,0,1,0,0,0,0,20,4,0,0,0,0,0,0,0,0,1,0,1,127
0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,127
0,0,1,1,1,0,0,0,0,1,20,9,0,3,0,1,1,0,1,1,0,0,0,127
1,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,1,0,0,0,127
0,0,0,1,0,1,0,0,0,0,20,15,0,0,0,0,0,0,0,0,1,0,1,127
0,0,1,1,0,1,0,0,0,0,20,16,0,0,0,0,0,0,1,0,1,0,1,127
0,0,0,1,1,0,0,0,0,0,20,18,0,2,0,0,0,0,0,0,1,1,0,127
0,0,0,0,0,0,0,0,0,1,20,19,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,127
0,0,0,0,0,0,2,2,0,0,20,2,0,2,0,0,0,0,0,0,0,0,0,136
0,0,0,1,0,1,0,0,0,0,20,3,0,0,0,1,0,1,0,1,0,0,0,136
0,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,136
0,0,1,1,0,1,0,0,0,0,20,9,0,0,0,0,0,0,1,0,1,0,1,136
0,0,0,0,0,0,0,0,0,0,20,10,0,0,1,0,0,0,0,1,0,0,0,136
0,0,0,1,1,0,0,0,0,0,20,11,0,3,0,1,1,0,0,0,0,0,0,136
0,0,0,1,1,0,0,0,0,1,20,13,0,3,0,1,1,0,0,1,0,0,0,136
0,0,0,0,0,0,0,0,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,136
0,0,1,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,1,0,0,0,0,136
0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,136
0,0,1,2,1,1,0,0,0,0,20,21,1,3,0,1,1,0,2,1,1,0,1,136
0,0,0,0,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,0,136
0,0,0,0,0,0,0,0,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,136
0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,130
0,0,0,1,0,1,0,0,0,0,20,3,0,0,0,1,0,1,0,0,0,0,0,130
0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,130
0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,0,130
0,0,1,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,1,0,0,0,0,130
0,0,0,1,1,0,0,0,0,0,20,14,0,2,0,0,0,0,0,0,1,1,0,130
0,0,0,1,0,1,0,0,0,0,20,15,0,0,0,1,0,1,0,0,0,0,0,130
0,1,0,0,0,0,0,0,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,130
0,0,0,1,0,1,0,0,0,0,20,17,0,0,0,1,0,1,0,0,0,0,0,130
0,1,0,0,0,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,140
0,0,0,0,0,0,0,0,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,140
0,1,0,0,0,0,0,0,0,2,20,15,0,0,0,0,0,0,0,0,0,0,0,140
0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,140
0,0,0,0,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,0,140
0,0,0,0,0,0,0,0,0,1,20,9,0,0,0,0,0,0,0,0,0,0,0,141
0,0,1,0,0,0,0,0,0,0,20,14,0,0,0,0,0,0,1,0,0,0,0,141
0,0,0,0,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,0,0,0,0,141
0,0,1,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,1,0,0,0,0,141
0,0,0,0,0,0,0,0,0,0,20,18,0,0,0,0,0,0,0,1,0,0,0,142
