Team_Name,Uploaded_Date,Format_Name,Category_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Aurora University,2019-1-9,Offensive,Shot Attempt - Half Court,Jump Shots,55.2%,28.5,30.1,1.055,89%,Excellent,17.9,10.6,28.5,37.3%,52.6%,0%,0.3%,0.3%,"37.3%
"
Aurora University,2019-1-9,Offensive,Shot Attempt - Half Court,Jump Shots.Short Shot Clock <4 Seconds,3.6%,1.9,2,1.077,95%,Excellent,1.1,0.7,1.9,38.5%,53.8%,0%,0%,0%,"38.5%
"
Aurora University,2019-1-9,Offensive,Shot Attempt - Half Court,Runner,4%,2.1,1.4,0.69,44%,Average,1.4,0.7,2.1,34.5%,34.5%,0%,0%,0%,"34.5%
"
Aurora University,2019-1-9,Offensive,Shot Attempt - Half Court,Runner.Short Shot Clock <4 Seconds,0.4%,0.2,0.1,0.667,-,-,0.1,0.1,0.2,33.3%,33.3%,0%,0%,0%,"33.3%
"
Aurora University,2019-1-9,Offensive,Shot Attempt - Half Court,Around Basket (not Post-Ups),35.7%,18.4,23.4,1.267,92%,Excellent,7.2,11.2,18.4,60.9%,60.9%,0%,6.6%,6.6%,"60.9%
"
Aurora University,2019-1-9,Offensive,Shot Attempt - Half Court,Post-Ups,5.1%,2.6,2.4,0.919,43%,Average,1.5,1.1,2.6,43.2%,43.2%,0%,5.4%,5.4%,"43.2%
"
Aurora University,2019-1-9,Offensive,Shot Attempt - Half Court,Post-Ups.Short Shot Clock <4 Seconds,0.1%,0.1,0,0,-,-,0.1,0,0.1,0%,0%,0%,0%,0%,"0%
"
Aurora University,2019-1-9,Offensive,Shot Attempt - Half Court,Video Not Available,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-
"
Aurora University,2019-1-9,Offensive,Catch and Shoot - Half Court,Catch and Shoot,40.7%,21,24.4,1.16,89%,Excellent,12.8,8.2,21,39.1%,57.8%,0%,0.3%,0.3%,"39.1%
"
Aurora University,2019-1-9,Offensive,Catch and Shoot - Half Court,Guarded,66.7%,14,14.6,1.046,73%,Very Good,9.1,4.9,14,35.2%,52%,0%,0.5%,0.5%,"35.2%
"
Aurora University,2019-1-9,Offensive,Catch and Shoot - Half Court,Unguarded,33.3%,7,9.7,1.388,96%,Excellent,3.7,3.3,7,46.9%,69.4%,0%,0%,0%,"46.9%
"
Aurora University,2019-1-9,Offensive,Dribble Jumper - Half Court,All Jump Shots off the Dribble,10.9%,5.6,4.8,0.848,71%,Very Good,3.6,2,5.6,35.4%,42.4%,0%,0%,0%,"35.4%
"
Aurora University,2019-1-9,Offensive,Jump Shot Range - half court,Short (<17'),9.8%,2.8,2,0.718,48%,Average,1.8,1,2.8,35.9%,35.9%,0%,0%,0%,"35.9%
"
Aurora University,2019-1-9,Offensive,Jump Shot Range - half court,Medium (17' to <3 point line),10%,2.9,1.9,0.65,39%,Average,1.9,0.9,2.9,32.5%,32.5%,0%,0%,0%,"32.5%
"
Aurora University,2019-1-9,Offensive,Jump Shot Range - half court,Long (3 point jump shots),80.2%,22.9,26.2,1.147,90%,Excellent,14.1,8.7,22.9,38.1%,57.2%,0%,0.3%,0.3%,"38.1%
"
