Team_Name,Player_Name,Uploaded_Date,Category_Name,Format_Name,Element_Name,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score
Aurora University,Max Vickers,2019-1-9,Play Types,Offensive,Spot Up,2.9%,3.7,4,1.091,78%,Very Good,1.7,1.3,3,44.4%,55.6%,9.1%,9.1%,9.1%,"45.5%
"
Aurora University,Jesse Young,2019-1-9,Play Types,Offensive,Spot Up,2.9%,1,1.1,1.091,78%,Very Good,0.4,0.5,0.8,55.6%,66.7%,18.2%,0%,0%,"45.5%
"
Aurora University,Marquis Howard,2019-1-9,Play Types,Offensive,Spot Up,1.3%,1,0,0,-,-,0.8,0,0.8,0%,0%,20%,0%,0%,"0%
"
Aurora University,Demetrius Pointer,2019-1-9,Play Types,Offensive,Spot Up,1.3%,0.7,0.7,1,-,-,0.4,0.3,0.7,40%,50%,0%,0%,0%,"40%
"
Aurora University,Ethan Conroy,2019-1-9,Play Types,Offensive,Spot Up,0.8%,0.3,0.2,0.667,-,-,0.2,0.1,0.3,33.3%,33.3%,0%,0%,0%,"33.3%
"
Aurora University,Kyle Ottens,2019-1-9,Play Types,Offensive,Spot Up,0.3%,1,0,0,-,-,0,0,0,-,-,100%,0%,0%,"0%
"
Aurora University,Myles Turner,2019-1-9,Play Types,Offensive,Spot Up,0.3%,1,3,3,-,-,0,1,1,100%,150%,0%,0%,0%,"100%
"
Aurora University,Brandon James,2019-1-9,Play Types,Offensive,Spot Up,24.1%,3.7,2.6,0.692,15%,Below Average,2.2,0.9,3.1,29.5%,34.1%,9.6%,5.8%,3.8%,"30.8%
"
Aurora University,Ty Carlson,2019-1-9,Play Types,Offensive,Spot Up,14.8%,2.3,2.5,1.094,67%,Very Good,1.1,0.9,2.1,44.8%,56.9%,3.1%,9.4%,6.3%,"46.9%
"
Aurora University,Bailey Vance,2019-1-9,Play Types,Offensive,Spot Up,13.4%,2.1,2.8,1.345,91%,Excellent,0.7,0.9,1.6,56.5%,76.1%,10.3%,10.3%,6.9%,"51.7%
"
