GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom,Uploaded_Date,Player_ID,Team_ID
17,29.6,1.28,0.44,13.7,2.4,2.5,0.98,1.1,1.3,1.4,6.1,2.1,4,8.1,5.8,2.4,0.71,0.71,8.1,5.7,2.4,0.71,0.1,0.1,0,1,3,2.1,0.9,0.71,0.3,2.4,2,2019-01-30,33,3
17,30.2,1.23,0.31,13.9,1.9,2.2,0.87,0.7,1.2,0.4,6.8,0.8,5.9,10.7,4.5,6.2,0.42,0.47,6.9,3.6,3.4,0.52,3.8,0.9,2.8,0.25,4.6,3.9,0.6,0.86,0.2,3.3,1.8,2019-01-30,34,3
13,3.5,0.61,0.39,0.6,0.2,0.2,1,0.4,0,0,0.5,0.1,0.5,0.5,0.2,0.2,0.5,0.67,0.2,0.1,0.1,0.5,0.3,0.2,0.2,0.5,0,0,0,-,0,0,0.5,2019-01-30,35,3
17,24.3,1.16,0.18,14.4,1.1,2,0.53,0.8,0.9,0,3.8,0.8,3,10,5.1,4.9,0.51,0.62,4.9,2.8,2.1,0.58,5.1,2.2,2.9,0.44,2.6,2,0.6,0.76,0.4,2.3,2,2019-01-30,36,3
16,8.2,0.85,0.44,2.4,0.8,0.8,1,0.3,0.2,0.2,2.1,0.3,1.8,2.4,0.9,1.5,0.37,0.41,1.9,0.7,1.2,0.36,0.4,0.2,0.2,0.43,0.9,0.4,0.4,0.5,0,0.6,1.1,2019-01-30,73,5
20,20.8,0.94,0.3,8,1.3,1,1.3,1.1,0.4,0.1,3.1,0.2,2.9,6.6,2.5,4,0.38,0.49,3,1.2,1.9,0.38,3.5,1.4,2.2,0.39,2.4,1.6,0.8,0.67,0.2,1.8,1.6,2019-01-30,74,5
20,29,1.09,0.27,13.6,1.1,1.5,0.73,1.1,1,0.1,4.8,1.4,3.4,10.6,5,5.6,0.47,0.51,8.2,4.1,4,0.5,2.4,0.9,1.6,0.37,3.8,2.7,1.1,0.71,0.6,3.2,2.6,2019-01-30,75,5
13,27.2,0.84,0.09,13.2,1.4,1.8,0.75,0.3,0.8,0,2.7,0.1,2.6,10.6,4.5,6.1,0.43,0.54,4.8,2.2,2.5,0.47,5.8,2.3,3.5,0.4,2.8,1.8,0.9,0.67,0.5,2.5,1.7,2019-01-30,76,5
9,2.9,0.82,0.54,0.4,0.2,0.2,1,0.1,0.2,0.3,0.6,0.1,0.4,0.8,0.1,0.7,0.14,0.14,0.6,0.1,0.4,0.2,0.2,0,0.2,0,0.2,0.2,0,1,0,0.1,0.7,2019-01-30,77,5
8,11.5,0.79,0.45,3.5,0.5,0.4,1.33,1,0,0.4,1.5,0.6,0.9,3.9,1.4,2.5,0.36,0.42,1.2,0.9,0.4,0.7,2.6,0.5,2.1,0.19,0.5,0.2,0.2,0.5,0,0.6,1.1,2019-01-30,78,5
7,4.4,0.1,0.29,0,0,0,-,0.1,0,0,0.6,0.4,0.1,1,0,1,0,0,0.4,0,0.4,0,0.6,0,0.6,0,0,0,0,-,0,0,0.6,2019-01-30,79,5
14,11.5,1.28,0.36,5.1,0.6,0.9,0.67,0.9,0.3,0.2,1.9,0.7,1.1,4.6,1.5,3.1,0.32,0.35,3.2,1.3,1.9,0.4,1.4,0.2,1.2,0.15,2.8,1.9,0.9,0.69,0.1,1.4,1.7,2019-01-30,80,5
20,27.2,0.85,0.37,8.3,1.9,1.3,1.46,1.2,0.8,0.2,5.2,1,4.3,7.6,2.7,4.8,0.36,0.44,3.5,1.4,2,0.41,4,1.2,2.8,0.31,2.9,1.6,1.2,0.57,0.3,2,2.5,2019-01-30,81,5
18,22.6,0.99,0.21,10.4,1.9,2.1,0.95,0.7,1.4,0.2,2.4,0.6,1.8,8.7,3.6,5.1,0.41,0.49,4,2.2,1.8,0.56,4.7,1.3,3.3,0.29,2.6,2,0.6,0.78,0.3,1.9,2.8,2019-01-30,82,5
15,10.5,0.54,0.25,2.5,0.7,0.3,2,0.1,0.2,0,1.3,0.5,0.8,2.8,0.9,1.9,0.33,0.39,1.2,0.6,0.6,0.5,1.6,0.3,1.3,0.21,0.4,0.3,0.1,0.67,0.1,0.4,0.6,2019-01-30,83,5
7,2.6,2.46,0.67,1.4,0,0,-,0,0,0,1.3,0.4,0.9,0.6,0.3,0.3,0.5,0.5,0.6,0.3,0.3,0.5,0,0,0,-,0.9,0.9,0,1,0,0.4,0.4,2019-01-30,84,5
19,23.5,1.07,0.43,9,1.4,1,1.37,0.9,0.3,0.4,5.2,1.6,3.6,6.7,3.4,3.3,0.51,0.57,4.5,2.6,1.9,0.57,2.2,0.8,1.4,0.38,1.7,1.3,0.4,0.76,0.2,1.2,3.2,2019-01-30,85,5
17,10.6,0.88,0.34,3.3,0.5,0.3,1.6,0.5,0.2,0.2,1.6,0.3,1.4,2.2,1.1,1.2,0.47,0.61,0.6,0.5,0.2,0.73,1.6,0.6,1,0.37,0.8,0.6,0.2,0.77,0.1,0.4,0.5,2019-01-30,86,5
20,26.4,1.1,0.34,10.4,1.8,1.8,1.03,1.1,1,0.4,4.4,1.4,3.1,8.9,3.4,5.4,0.39,0.42,6.2,2.8,3.4,0.46,2.7,0.6,2.1,0.22,3.4,2.9,0.6,0.84,0.3,2.4,2.6,2019-01-30,178,6
8,6.4,0.45,0.2,0.9,0.5,0.2,2,0.2,0,0,0.1,0.1,0,0.9,0.2,0.6,0.29,0.36,0.2,0.1,0.1,0.5,0.6,0.1,0.5,0.2,0.2,0.2,0,1,0,0.4,0.4,2019-01-30,179,6
7,7,0.41,0.02,1.6,0.4,0.7,0.6,0,0.3,0.1,0.3,0.1,0.1,1.1,0.4,0.7,0.38,0.56,0.1,0,0.1,0,1,0.4,0.6,0.43,0.3,0.3,0,1,0,0.1,1.1,2019-01-30,180,6
8,11.4,0.22,0.07,1.1,1.5,1.9,0.8,0.2,1,0,0.8,0.2,0.5,1,0.4,0.6,0.38,0.44,0.9,0.2,0.6,0.29,0.1,0.1,0,1,0.5,0.2,0.2,0.5,0,0.5,1.4,2019-01-30,181,6
14,12.3,0.66,0.22,3.7,1.3,1,1.29,0.4,0.4,0,1,0.2,0.8,3.8,1.4,2.4,0.38,0.41,2.6,1.2,1.4,0.47,1.2,0.2,1,0.18,0.9,0.6,0.3,0.69,0.1,0.8,0.9,2019-01-30,182,6
3,22,0.87,0.06,10.7,0.7,1,0.67,0,2,0,1.7,0.3,1.3,9,3.7,5.3,0.41,0.48,5.3,2.3,3,0.44,3.7,1.3,2.3,0.36,2.3,2,0.3,0.86,0.7,1.3,1.3,2019-01-30,183,6
17,13.6,0.59,0.22,3,1.1,0.5,2,0.5,0.2,0,0.6,0.2,0.5,2.6,1,1.6,0.38,0.44,1.2,0.6,0.6,0.52,1.4,0.4,1.1,0.25,0.8,0.6,0.2,0.79,0.1,0.6,0.9,2019-01-30,184,6
13,11.6,0.26,0.13,1.6,0.2,1.2,0.19,0.5,0.5,0.1,1.8,0.6,1.2,2.2,0.7,1.5,0.32,0.34,1.7,0.6,1.1,0.36,0.5,0.1,0.4,0.17,0.3,0.2,0.2,0.5,0,0.7,1.6,2019-01-30,185,6
5,5,1.36,0.76,1.8,0.6,0.2,3,0.6,0,0.2,1,0.4,0.6,1.4,0.6,0.8,0.43,0.5,1,0.4,0.6,0.4,0.4,0.2,0.2,0.5,0.8,0.4,0.4,0.5,0,0.4,0.6,2019-01-30,186,6
21,31.1,1.11,0.44,11.8,3.6,2.4,1.52,0.9,1.3,1.6,5.5,0.8,4.8,9,4,5,0.44,0.52,5.1,2.5,2.6,0.49,3.8,1.4,2.4,0.38,3.2,2.4,0.8,0.76,0.2,2.7,2,2019-01-30,187,6
20,11.9,0.96,0.16,6.7,0.6,0.8,0.69,0.4,0.6,0,1.2,0.4,0.8,5.6,2.7,2.9,0.48,0.55,3.5,2,1.5,0.57,2.1,0.7,1.4,0.33,1,0.6,0.4,0.6,0,0.8,0.8,2019-01-30,188,6
16,25.6,0.75,0.24,8.4,2.2,2.7,0.84,1.2,1.4,0.2,3.4,0.9,2.5,8.1,3.2,4.9,0.4,0.42,6.6,2.9,3.7,0.44,1.5,0.3,1.2,0.21,2.8,1.6,1.2,0.58,0.4,2.2,2.4,2019-01-30,189,6
21,25,0.78,0.21,7.7,1.6,1.3,1.22,1,0.8,0.1,2,0.2,1.8,6,2.2,3.9,0.36,0.48,2.2,0.8,1.4,0.37,3.9,1.4,2.5,0.36,2.3,1.9,0.4,0.83,0.2,1.4,2.2,2019-01-30,190,6
21,9.1,0.68,0.24,2.8,0.5,0.7,0.71,0.1,0.2,0,2,0.3,1.7,2.3,1,1.3,0.43,0.54,1,0.5,0.5,0.48,1.3,0.5,0.8,0.39,0.5,0.3,0.2,0.6,0,0.3,1.2,2019-01-30,191,6
6,2.7,2.07,0.19,2.5,0.2,0.2,1,0,0.2,0,0.3,0.2,0.2,1,0.7,0.3,0.67,1,0.2,0,0.2,0,0.8,0.7,0.2,0.8,0.7,0.5,0.2,0.75,0,0.3,0.3,2019-01-30,192,6
21,29.4,1.39,0.53,14.6,1.2,1.8,0.68,1,0.9,1,9.8,3,6.8,8.8,6.1,2.7,0.69,0.71,8,5.8,2.1,0.73,0.9,0.3,0.6,0.33,3.8,2.1,1.7,0.55,1,3.4,3,2019-01-30,193,6
3,1.7,1.04,0.6,0.7,0.3,0.3,1,0,0.3,0,0.7,0.3,0.3,0.7,0.3,0.3,0.5,0.5,0.7,0.3,0.3,0.5,0,0,0,-,0,0,0,-,0,0,0.3,2019-01-30,194,6
12,11.2,0.97,0.39,4.1,0.5,0.8,0.67,0.2,0.3,0.5,2.9,0.7,2.2,3.3,1.5,1.8,0.45,0.53,1.8,1,0.8,0.55,1.5,0.5,1,0.33,0.7,0.6,0.1,0.88,0,0.6,2.2,2019-01-30,195,6
4,4,0.55,0.13,1.5,0.2,0,-,0,0,0,0,0,0,1.2,0.5,0.8,0.4,0.6,0.2,0,0.2,0,1,0.5,0.5,0.5,0,0,0,-,0,0,0,2019-01-30,196,6
21,22.7,0.54,0.24,4.3,2.1,1.3,1.61,0.7,0.8,0,2,0.5,1.5,4.7,1.5,3.2,0.32,0.37,2.7,1,1.7,0.38,2,0.5,1.5,0.24,1,0.9,0.1,0.86,0,1,1.5,2019-01-30,87,2
21,27.7,0.73,0.17,10.6,2,2.4,0.82,0.5,1.4,0.2,3.4,0.7,2.8,8.7,3.7,5,0.42,0.54,4,1.6,2.3,0.41,4.8,2,2.7,0.43,1.4,1.2,0.2,0.86,0,1.2,0.8,2019-01-30,88,2
14,3.5,1.03,0.41,1.8,0.6,0.6,1.12,0.3,0.3,0,0.4,0.3,0.1,1.5,0.9,0.6,0.57,0.6,1.4,0.8,0.6,0.55,0.1,0.1,0,1,0,0,0,-,0,0,0.4,2019-01-30,89,2
8,1.8,-0.31,-0.07,0,0,0.2,0,0,0,0.1,0.1,0,0.1,0.5,0,0.5,0,0,0.2,0,0.2,0,0.2,0,0.2,0,0,0,0,-,0,0,0.1,2019-01-30,90,2
21,11.6,0.79,0.18,4.6,0.3,0.6,0.54,0.2,0.2,0,1.7,0.5,1.2,4.4,1.6,2.8,0.37,0.42,2.6,1.1,1.5,0.44,1.8,0.5,1.3,0.27,1.5,0.9,0.6,0.59,0.2,1,2,2019-01-30,91,2
21,28.3,1.12,0.2,14.4,2.1,2.3,0.94,0.6,1,0.4,3.1,0.9,2.2,10.4,5.1,5.3,0.49,0.56,6.8,3.6,3.1,0.54,3.6,1.5,2.1,0.41,3.2,2.8,0.5,0.85,0.2,2.5,2.2,2019-01-30,92,2
9,1.9,1.18,0.41,0.6,0,0.1,0,0.1,0.1,0.1,0.4,0.1,0.3,0.2,0.1,0.1,0.5,0.75,0.1,0,0.1,0,0.1,0.1,0,1,0.2,0.2,0,1,0,0.1,0.4,2019-01-30,93,2
20,8.4,0.67,0.31,2.6,0.9,0.5,1.8,0.2,0.2,0,1.1,0.4,0.8,2.8,1,1.8,0.36,0.45,1,0.5,0.6,0.48,1.7,0.5,1.2,0.29,0.2,0.2,0.1,0.6,0,0.2,0.6,2019-01-30,94,2
21,24.5,1.06,0.62,6,1,0.7,1.57,1.9,0.3,0.8,6.8,2.4,4.3,4,2.3,1.8,0.57,0.58,3.7,2.2,1.5,0.6,0.4,0.1,0.3,0.25,2.3,1.3,1,0.55,0.4,1.7,2.5,2019-01-30,95,2
11,26.2,1.04,0.37,9.6,2.5,2,1.27,1.1,1.5,0.6,4.3,0.8,3.5,7,2.8,4.2,0.4,0.53,2.6,1,1.6,0.38,4.4,1.8,2.5,0.42,3,2.2,0.8,0.73,0.2,2.3,3.2,2019-01-30,96,2
4,1.8,0.06,0.29,0,0,0,-,0.2,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,-,0.5,0,0.5,0,0,0,0,-,0,0,0.2,2019-01-30,97,2
6,1.3,0.38,0.38,0,0.3,0.2,2,0,0,0,0.2,0,0.2,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,2019-01-30,98,2
21,12.9,0.59,0.3,2.3,0.7,0.7,1,0.6,0.4,0.4,1.3,0.5,0.8,2.5,0.8,1.7,0.32,0.35,1.9,0.7,1.2,0.36,0.7,0.1,0.5,0.21,0.9,0.6,0.3,0.67,0,0.8,1.8,2019-01-30,99,2
10,2.7,0.16,-0.22,0.4,0.3,0.7,0.43,0,0.3,0,0.2,0,0.2,0.6,0,0.6,0,0,0.3,0,0.3,0,0.3,0,0.3,0,0.8,0.4,0.4,0.5,0,0.4,0.2,2019-01-30,100,2
20,8.8,1.2,0.54,2.7,0.4,0.8,0.56,0.2,0.3,0.3,3.2,1.2,1.9,1.8,0.9,1,0.49,0.49,1.8,0.9,1,0.49,0,0,0,-,1.2,0.9,0.4,0.72,0.1,0.8,2,2019-01-30,101,2
21,30.7,1.41,0.25,21.3,1,2.7,0.39,0.5,0.8,0,8.2,1.7,6.5,16.4,8,8.5,0.48,0.54,11.6,6,5.6,0.52,4.8,2,2.9,0.41,4.4,3.5,1,0.79,0.4,3.9,2.6,2019-01-30,102,2
17,4.5,0.56,0.36,1.1,0.5,0.5,1,0.4,0.4,0.1,0.5,0.2,0.2,1.3,0.5,0.8,0.36,0.41,0.6,0.4,0.2,0.6,0.7,0.1,0.6,0.17,0.1,0,0.1,0,0.1,0.1,0.5,2019-01-30,103,2
5,1.8,1.66,1,1.2,0.2,0.2,1,0,0.2,0,1.2,0.6,0.6,1,0.6,0.4,0.6,0.6,1,0.6,0.4,0.6,0,0,0,-,0.4,0,0.4,0,0,0.2,0.6,2019-01-30,104,2
10,2.5,0.94,0.56,0.9,0.1,0.2,0.5,0.3,0,0,0.7,0.3,0.4,0.8,0.4,0.4,0.5,0.5,0.8,0.4,0.4,0.5,0,0,0,-,0.6,0.1,0.5,0.17,0.1,0.4,0.1,2019-01-30,105,2
6,1.7,1.59,0.2,1,0,0,-,0.2,0,0,0,0,0,0.5,0.3,0.2,0.67,0.67,0.3,0.3,0,1,0.2,0,0.2,0,0.5,0.3,0.2,0.67,0,0.2,0,2019-01-30,106,2
20,27.1,0.86,0.32,9.4,1.1,1.9,0.58,1.1,0.8,1.1,4.6,1.2,3.4,7.6,3.8,3.8,0.51,0.53,6.4,3.6,2.8,0.56,1.2,0.3,1,0.24,2.6,1.4,1.2,0.55,0.4,1.8,3.2,2019-01-30,1,4
20,16.4,0.75,0.22,6,1.3,0.8,1.53,0.5,0.4,0.1,1.4,0.2,1.2,5,2.1,2.9,0.42,0.52,2.2,1.1,1,0.51,2.8,1,1.8,0.35,1.2,0.8,0.5,0.6,0.1,0.9,1,2019-01-30,2,4
4,2.5,0.31,0.1,0.2,0.2,0.5,0.5,0.2,0.2,0,0.2,0,0.2,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,-,0.5,0.2,0.2,0.5,0,0.2,0.2,2019-01-30,3,4
20,31.3,0.85,0.29,12.1,3.8,2.8,1.36,1.6,1.5,0.1,3.4,0.5,2.8,11,4.4,6.6,0.4,0.48,5.6,2.4,3.1,0.44,5.4,1.9,3.5,0.35,2,1.5,0.4,0.77,0.2,1.6,1.4,2019-01-30,4,4
19,17.3,1.13,0.33,7.2,1.3,0.8,1.5,0.6,0.5,0.2,2.5,0.9,1.6,6.4,2.3,4.1,0.36,0.39,5.2,1.9,3.3,0.37,1.2,0.4,0.8,0.32,2.6,2.2,0.4,0.84,0.3,1.8,1.9,2019-01-30,5,4
3,2,-0.3,-0.17,0,0,0.3,0,0,0,0,0.3,0,0.3,0.3,0,0.3,0,0,0,0,0,-,0.3,0,0.3,0,0,0,0,-,0,0,1,2019-01-30,6,4
3,7.7,1.17,0.22,3,0.7,0.7,1,0,0,0,1,0.7,0.3,3.3,0.7,2.7,0.2,0.2,1.7,0.7,1,0.4,1.7,0,1.7,0,2,1.7,0.3,0.83,0,1.7,0.7,2019-01-30,7,4
9,6.1,0.29,0.13,1.1,0.7,0.3,2,0,0.3,0,0.1,0,0.1,1.3,0.4,0.9,0.33,0.42,0.6,0.2,0.3,0.4,0.8,0.2,0.6,0.29,0,0,0,-,0,0,0.9,2019-01-30,8,4
4,2.2,-0.72,-0.44,0,0,0.5,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0.2,0,0.2,0,0.5,0,0.5,0,0,0,0,-,0,0,0.2,2019-01-30,9,4
3,2.7,1.22,0.25,1.7,0,0,-,0,0,0,0.3,0.3,0,0.7,0.7,0,1,1.25,0.3,0.3,0,1,0.3,0.3,0,1,0,0,0,-,0,0,0.3,2019-01-30,10,4
6,10.5,0.51,-0.05,4,0.3,1.5,0.22,0,0.3,0,1.5,0.3,1.2,3.5,1.3,2.2,0.38,0.5,2.2,0.5,1.7,0.23,1.3,0.8,0.5,0.63,0.5,0.5,0,1,0.2,0.7,0.8,2019-01-30,11,4
20,17.8,1.19,0.34,9.2,0.6,1.3,0.5,0.4,0.4,0.4,4.4,1.2,3.2,7,3.6,3.3,0.53,0.57,5.4,3,2.4,0.57,1.6,0.6,1,0.39,2,1.4,0.7,0.66,0,1.6,3,2019-01-30,12,4
1,3,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,2019-01-30,13,4
4,3.8,0.58,0.33,1,0.2,0.2,1,0.2,0,0,0.5,0.2,0.2,1.2,0.5,0.8,0.4,0.4,0.8,0.5,0.2,0.67,0.5,0,0.5,0,0,0,0,-,0,0,1,2019-01-30,14,4
20,26.7,0.88,0.32,8.2,1.7,1.2,1.36,0.6,1,0.2,5,1.3,3.6,6.2,2.8,3.4,0.45,0.54,3.4,1.6,1.7,0.49,2.8,1.1,1.7,0.39,2,1.6,0.3,0.85,0.2,1.6,2.2,2019-01-30,15,4
5,2.4,0.36,0.25,0.4,0.2,0.4,0.5,0,0,0,0.8,0.2,0.6,0.6,0.2,0.4,0.33,0.33,0.6,0.2,0.4,0.33,0,0,0,-,0,0,0,-,0,0,0,2019-01-30,16,4
20,31.4,1.26,0.3,17.8,2,2.2,0.93,0.8,1.2,0.1,6.2,1.9,4.2,14.6,6.6,8,0.45,0.49,11.8,5.4,6.4,0.46,2.8,1.2,1.6,0.43,4.2,3.4,0.9,0.79,0.4,3.1,2.6,2019-01-30,17,4
19,29.2,1.02,0.46,10,2.2,1.3,1.64,0.4,0.8,0.6,7.8,2.1,5.8,8.3,3.8,4.5,0.46,0.49,6.9,3.2,3.7,0.47,1.4,0.6,0.8,0.41,3.1,1.8,1.2,0.6,0.4,2.4,1.9,2019-01-30,18,4
1,1,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,2019-01-30,19,4
5,2.2,0.84,0.27,0.8,0,0,-,0,0,0,0.6,0,0.6,0.4,0.4,0,1,1,0.4,0.4,0,1,0,0,0,-,0,0,0,-,0,0,0.2,2019-01-30,20,4
2,2,1,1,0,0.5,0,-,0,0,0,0.5,0.5,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,2019-01-30,21,4
18,23.3,1.03,0.24,8.9,2.1,1.4,1.52,0.3,0.7,0.2,2.7,0.6,2.1,5.7,2.6,3.1,0.46,0.56,3.3,1.4,1.9,0.43,2.3,1.2,1.2,0.5,3.2,2.5,0.7,0.79,0.3,2.3,3.3,2019-01-30,107,8
20,32.4,0.46,0.25,5,3,1.8,1.69,0.7,1,0.2,3.4,0.4,3,4.1,1.6,2.4,0.4,0.54,1.3,0.5,0.8,0.39,2.8,1.2,1.6,0.41,0.9,0.5,0.4,0.56,0,0.7,1.6,2019-01-30,108,8
13,3.7,0.78,0.46,0.8,0.2,0.2,0.67,0.1,0.2,0.2,1.1,0.2,0.9,0.8,0.3,0.5,0.4,0.4,0.7,0.3,0.4,0.44,0.1,0,0.1,0,0.2,0.2,0.1,0.67,0,0.3,0.2,2019-01-30,109,8
13,13.9,0.71,0.32,3.8,1.1,1.5,0.74,0.5,0.6,0.7,2.3,0.6,1.7,4.1,1.5,2.6,0.36,0.39,2.9,1.2,1.7,0.42,1.2,0.2,0.9,0.2,0.8,0.6,0.2,0.8,0.1,1.1,2.5,2019-01-30,110,8
19,7.3,1.31,0.2,3.4,0.4,0.6,0.64,0.2,0.2,0,1.2,0.3,0.8,2.5,0.9,1.6,0.36,0.4,1.9,0.7,1.3,0.35,0.5,0.2,0.3,0.4,1.7,1.4,0.3,0.84,0.1,1.2,0.7,2019-01-30,111,8
20,31.4,1.62,0.26,19.2,3,2.2,1.33,0.8,1,0.1,4.6,0,4.5,11.6,5.4,6.2,0.47,0.56,6,3.4,2.6,0.57,5.7,2,3.6,0.36,7.8,6.2,1.6,0.8,0.8,6,1.8,2019-01-30,112,8
20,10,0.81,0.36,2.8,0.4,0.6,0.64,0.2,0.1,0.2,2.2,0.9,1.3,2.5,1,1.4,0.42,0.42,2.4,1,1.4,0.44,0.1,0,0.1,0,1.2,0.6,0.6,0.52,0,0.8,1.6,2019-01-30,113,8
20,18.6,0.48,0.17,4.2,0.9,1.2,0.78,0.4,0.6,0,2.6,0.2,2.4,4.1,1.4,2.6,0.35,0.45,1.6,0.7,0.8,0.45,2.6,0.8,1.8,0.29,0.6,0.5,0.2,0.77,0,0.7,1.9,2019-01-30,114,8
4,0.5,0.93,-1,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0.5,0.2,0.2,0.5,0,0.2,0.2,2019-01-30,115,8
20,14.6,0.44,0.18,3.2,1,0.6,1.58,0.4,0.4,0,1.1,0.1,1,3.2,1.2,2.1,0.35,0.45,1,0.6,0.5,0.52,2.2,0.6,1.6,0.27,0.4,0.2,0.2,0.63,0,0.4,1.1,2019-01-30,116,8
11,2.1,0.72,0.57,0.3,0.1,0,-,0.1,0,0.1,0.5,0.2,0.3,0.5,0.1,0.4,0.2,0.2,0.3,0.1,0.2,0.33,0.2,0,0.2,0,0.2,0.1,0.1,0.5,0,0.2,0.1,2019-01-30,117,8
20,28.2,0.96,0.38,11,1.7,1.4,1.21,0.6,0.7,0.2,7.6,1,6.6,9.6,4.5,5.2,0.47,0.51,7.8,3.8,4,0.48,1.9,0.8,1.2,0.4,1.8,1.3,0.4,0.74,0.1,1.4,1.8,2019-01-30,118,8
13,2.6,0.13,0.15,0.2,0.1,0.3,0.25,0,0.2,0,0.6,0.2,0.4,0.8,0.1,0.7,0.1,0.1,0.4,0.1,0.3,0.2,0.4,0,0.4,0,0.2,0.1,0.1,0.5,0,0.2,0.3,2019-01-30,119,8
10,2.4,0.7,0.42,0.6,0.1,0.1,1,0.1,0,0,0.6,0.2,0.4,0.5,0.3,0.2,0.6,0.6,0.5,0.3,0.2,0.6,0,0,0,-,0.1,0,0.1,0,0.1,0.1,0.2,2019-01-30,120,8
20,22.2,1.11,0.23,12.3,0.6,1,0.57,0.5,0.4,0.1,3.4,1.2,2.2,9.4,5.2,4.2,0.55,0.58,8,4.6,3.4,0.57,1.3,0.6,0.8,0.42,1.8,1.4,0.4,0.78,0.4,1.6,1.6,2019-01-30,121,8
7,2.4,0.53,0.59,0.4,0.3,0.1,2,0.1,0.1,0,0.6,0.3,0.3,1.1,0.1,1,0.13,0.19,0.1,0,0.1,0,1,0.1,0.9,0.14,0,0,0,-,0,0,0.3,2019-01-30,122,8
4,0.5,1.55,0,0.5,0,0,-,0,0,0,0,0,0,0.2,0.2,0,1,1,0.2,0.2,0,1,0,0,0,-,0,0,0,-,0,0,0,2019-01-30,123,8
16,33.4,1.3,0.38,16.9,4.6,3.1,1.48,1.6,1.8,1.1,3.9,0.7,3.2,12.2,6.1,6.1,0.5,0.55,9.2,5,4.2,0.54,3,1.1,1.9,0.38,4.8,3.5,1.2,0.74,0.6,3.7,1.5,2019-01-30,124,12
3,0.7,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0.3,2019-01-30,125,12
1,2,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,2019-01-30,126,12
21,23.1,0.54,0.16,7.3,1.2,1,1.18,0.5,0.5,0.1,1.8,0.4,1.3,8,2.7,5.3,0.34,0.41,4.7,1.6,3,0.35,3.4,1.1,2.3,0.32,1.2,0.8,0.5,0.62,0,1,1.8,2019-01-30,127,12
19,17,0.44,0.15,4.6,1,0.8,1.19,0.3,0.2,0,1.3,0.4,0.9,4.8,1.6,3.2,0.34,0.47,1.3,0.4,0.8,0.33,3.5,1.2,2.3,0.34,0.3,0.2,0.1,0.6,0.1,0.5,1.6,2019-01-30,128,12
6,2.7,0.82,0.25,0.8,0.2,0.3,0.5,0,0,0,0.8,0.2,0.7,0.7,0.3,0.3,0.5,0.5,0.7,0.3,0.3,0.5,0,0,0,-,0.2,0.2,0,1,0.2,0.2,0.5,2019-01-30,129,12
21,10.5,0.22,0.1,1.5,0.3,0.6,0.46,0,0.2,0,1.1,0.3,0.8,2,0.6,1.4,0.31,0.37,0.9,0.4,0.5,0.44,1.1,0.2,0.9,0.21,0.1,0,0,0.5,0,0.1,1,2019-01-30,130,12
17,7.4,0.27,0.13,1.2,0.3,0.7,0.42,0.2,0.3,0,1.2,0.2,0.9,1.5,0.6,0.9,0.4,0.4,1.4,0.6,0.8,0.42,0.1,0,0.1,0,0,0,0,-,0,0.1,0.8,2019-01-30,131,12
13,16.6,0.71,0.16,7.1,1.8,1.2,1.44,0.2,0.4,0,1.1,0.1,1,7,2.9,4.1,0.42,0.46,4.8,2.3,2.5,0.48,2.2,0.6,1.6,0.28,0.8,0.6,0.2,0.73,0.1,0.8,1.5,2019-01-30,135,12
7,3.3,1.61,0.17,2,0.3,0.1,2,0,0,0,0.3,0,0.3,0.9,0.6,0.3,0.67,0.75,0.7,0.4,0.3,0.6,0.1,0.1,0,1,1.1,0.7,0.4,0.63,0,0.4,0,2019-01-30,132,12
21,32.5,1.27,0.6,13.5,1,2,0.48,1,0.7,0.6,13.4,4.9,8.6,11.1,5.3,5.8,0.48,0.5,9.9,4.9,5,0.49,1.3,0.5,0.8,0.37,3.7,2.3,1.4,0.63,0.5,2.9,2.6,2019-01-30,133,12
20,28.7,1.39,0.49,13,1.9,2.8,0.67,1,1.2,1.2,9.2,2.4,6.8,9.7,4.7,5,0.48,0.49,9.2,4.6,4.6,0.5,0.6,0.1,0.4,0.18,4.8,3.6,1.3,0.73,0.3,4.6,3.6,2019-01-30,134,12
