GP,Min,SST,SSTexPts,Pts,Ast,TO,Ast_Turnover_Ratio,Stl,StlPos,Blk,TtlReb,OffReb,DefReb,FGA,FG_Made,FG_miss,FG,adjusted_FG,Two_FGA,Two_FG_Made,Two_FG_miss,Two_FG,Three_FGA,Three_FG_Made,Three_FG_miss,Three_FG,FTA,FT_Made,FT_miss,FT,AndOne,PFTkn,PFCom,Uploaded_Date,Player_ID,Team_ID
14,8.7,0.21,0.16,0.9,0.3,0.1,2,0,0.1,0,0.9,0.1,0.8,1.2,0.3,0.9,0.24,0.35,0.2,0,0.2,0,1,0.3,0.7,0.29,0.1,0,0.1,0,0,0.1,1.4,2019-01-30,69,11
6,3,1.11,0.33,1.7,0.2,0.2,1,0.2,0,0,0.5,0.2,0.3,2,0.5,1.5,0.25,0.33,1,0.2,0.8,0.17,1,0.3,0.7,0.33,0.3,0.3,0,1,0,0.2,0.5,2019-01-30,70,11
9,4.1,0.75,0.57,0.7,0.1,0,-,0.3,0.1,0.2,1,0,1,0.7,0.3,0.3,0.5,0.5,0.3,0.3,0,1,0.3,0,0.3,0,0,0,0,-,0,0,1,2019-01-30,71,11
2,3,0.68,0.17,1,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0,1,1,0.5,0.5,0,1,0,0,0,-,0,0,0,-,0,0,0,2019-01-30,72,11
12,12.5,1.2,0.51,5.7,1.8,0.8,2.2,0.8,0.3,0.2,1.7,0.5,1.2,5.2,2.3,2.8,0.45,0.46,4.7,2.2,2.4,0.48,0.5,0.1,0.4,0.17,1.5,0.9,0.6,0.61,0.3,1.2,1.5,2019-01-30,143,7
4,21.2,0.92,0.22,9,1.5,1.8,0.86,0,0.8,0,3.8,1.5,2.2,7.8,3,4.8,0.39,0.47,3.8,1.8,2,0.47,4,1.2,2.8,0.31,2.5,1.8,0.8,0.7,0.5,2,3,2019-01-30,144,7
10,31.7,0.8,0.38,9.9,4.5,1.6,2.81,0.8,1.1,0,3.9,0.7,3.2,9.7,4,5.7,0.41,0.45,7.2,3.2,4,0.44,2.5,0.8,1.7,0.32,1.7,1.1,0.6,0.65,0.5,1.8,1.2,2019-01-30,145,7
19,20.5,0.98,0.42,8.4,1.9,1.7,1.12,0.7,0.8,0,5.7,1,4.7,7.4,3.4,4.1,0.45,0.52,4,2.4,1.6,0.59,3.4,1,2.4,0.29,1,0.7,0.3,0.68,0.1,0.6,1.6,2019-01-30,146,7
12,5.7,0.42,0.37,0.3,0.4,0.1,5,0.3,0.1,0,0.6,0.2,0.4,0.4,0.2,0.2,0.4,0.4,0.2,0.2,0.1,0.67,0.2,0,0.2,0,0,0,0,-,0,0.1,0.6,2019-01-30,147,7
19,21.8,0.8,0.1,9.2,1.2,1.8,0.65,0.6,0.6,0,1.8,0.4,1.4,8.1,3.2,4.8,0.4,0.47,4.7,2.1,2.6,0.45,3.4,1.1,2.3,0.33,1.9,1.7,0.3,0.87,0.2,1.3,2.1,2019-01-30,148,7
3,3.7,1.42,0.55,1.7,0,0,-,0.3,0,0,0.7,0.7,0,2,0.3,1.7,0.17,0.25,1,0,1,0,1,0.3,0.7,0.33,0.7,0.7,0,1,0,0.3,0.7,2019-01-30,227,7
18,31.4,1.16,0.41,13.4,2.3,1.3,1.71,1.1,0.7,0.7,5.9,1.6,4.3,8.2,4.9,3.3,0.6,0.7,4.8,3.2,1.6,0.67,3.3,1.7,1.7,0.5,2.7,2,0.7,0.74,0.2,2,2.2,2019-01-30,149,7
7,5,0.33,0.31,0.4,0.4,0.1,3,0.3,0,0,0.3,0.1,0.1,0.9,0.1,0.7,0.17,0.25,0,0,0,-,0.9,0.1,0.7,0.17,0,0,0,-,0,0,0.6,2019-01-30,150,7
14,11.4,1.04,0.29,5.1,1.1,0.8,1.45,0.6,0.4,0,1.2,0.2,1,4.2,1.6,2.6,0.39,0.48,2.4,0.9,1.4,0.39,1.9,0.7,1.1,0.39,1.6,1.1,0.6,0.65,0.1,1.1,1.5,2019-01-30,151,7
19,31.7,1.12,0.28,13.7,2.5,1.1,2.24,0.6,0.2,0.1,3.9,0.7,3.2,9.4,4,5.4,0.43,0.54,3.3,1.8,1.5,0.56,6.1,2.2,3.9,0.35,4.8,3.5,1.3,0.73,0.2,2.9,2,2019-01-30,152,7
14,17.4,1.32,0.21,12.1,1,1.3,0.78,0.7,0.4,0.1,2.2,0.3,1.9,7.5,4.2,3.3,0.56,0.74,2.2,1.6,0.6,0.71,5.3,2.6,2.6,0.5,1.3,1.1,0.2,0.83,0.1,1.1,2.6,2019-01-30,156,7
16,13.1,0.66,0.19,4.4,0.8,1,0.81,0.2,0.4,0.4,1.3,0.4,0.9,3.6,1.6,2.1,0.43,0.53,1.9,0.8,1.1,0.42,1.7,0.8,0.9,0.44,0.9,0.5,0.4,0.57,0.1,0.8,1.8,2019-01-30,153,7
16,16.4,1.61,0.64,8.2,1.1,0.8,1.31,1.1,0.5,0.8,4.2,2.1,2.1,5.4,3,2.4,0.55,0.58,5.1,2.8,2.4,0.54,0.3,0.2,0.1,0.8,3,2,1,0.67,0.2,1.5,2.2,2019-01-30,154,7
17,7.9,0.52,0.26,1.5,0.5,0.4,1.29,0.1,0.2,0.1,1,0.5,0.5,1.8,0.6,1.2,0.33,0.35,1.3,0.5,0.8,0.41,0.5,0.1,0.4,0.13,0.6,0.3,0.3,0.5,0,0.5,1.2,2019-01-30,155,7
3,5,1.36,0.33,2.3,0.3,0.7,0.5,0,0.3,0,1.7,0.7,1,1.3,0.7,0.7,0.5,0.63,0.7,0.3,0.3,0.5,0.7,0.3,0.3,0.5,0.7,0.7,0,1,0,0.3,0.3,2019-01-30,226,7
12,12.1,1.27,0.23,7.7,0.8,1.1,0.77,0.4,0.2,0,1.8,0.7,1.1,5.2,2.5,2.8,0.48,0.64,1.5,0.8,0.7,0.56,3.8,1.7,2.1,0.44,1.2,1,0.2,0.86,0.2,0.8,2.3,2019-01-30,157,7
11,6.2,0.7,0.15,2.3,0.3,0.6,0.43,0.1,0.5,0.1,0.8,0.5,0.4,2,1,1,0.5,0.5,2,1,1,0.5,0,0,0,-,0.4,0.3,0.1,0.75,0.2,0.3,0.3,2019-01-30,197,9
16,17.8,0.91,0.26,5.4,2.4,1.6,1.46,0.6,1.1,0,1.8,0.2,1.6,4.2,1.5,2.8,0.35,0.41,2.6,1,1.6,0.38,1.6,0.5,1.1,0.31,2.4,1.9,0.5,0.8,0.2,2.1,1.8,2019-01-30,198,9
4,15,0.5,0.35,2.2,1.8,0.5,3.5,0.5,0.5,0,1.8,0,1.8,3.5,0.8,2.8,0.21,0.25,2,0.5,1.5,0.25,1.5,0.2,1.2,0.17,1,0.5,0.5,0.5,0,0.5,0,2019-01-30,199,9
19,13.3,0.66,0.18,4.9,1.1,1.2,0.95,0.4,0.5,0.4,0.8,0.2,0.6,4.7,1.9,2.8,0.41,0.47,2.8,1.4,1.4,0.49,1.9,0.6,1.4,0.3,0.6,0.4,0.2,0.73,0.1,0.4,1,2019-01-30,200,9
19,27.7,0.77,0.26,9.4,2.2,2.4,0.93,1.1,1.4,0.8,2.7,1,1.7,8.1,3.2,4.9,0.4,0.5,3.5,1.5,2,0.43,4.6,1.7,2.9,0.37,1.7,1.3,0.4,0.78,0.1,1.4,2,2019-01-30,201,9
7,9.1,0.43,0.09,1.6,0.9,1.3,0.67,0.6,0.7,0,0.4,0.1,0.3,1.4,0.4,1,0.3,0.35,1,0.3,0.7,0.29,0.4,0.1,0.3,0.33,0.9,0.6,0.3,0.67,0,0.6,0.4,2019-01-30,202,9
19,24.3,0.95,0.42,9.5,2.6,1.1,2.33,0.7,0.4,0.3,3.8,1.4,2.4,9.5,3.5,6,0.37,0.44,4.6,2,2.6,0.44,4.9,1.5,3.4,0.3,1.4,1.1,0.3,0.81,0.4,1.3,1.4,2019-01-30,203,9
17,18.4,0.46,0.18,4.9,2.5,2.4,1.05,0.8,1,0.1,1.2,0.1,1.1,4.8,1.8,3,0.38,0.51,1.2,0.6,0.6,0.48,3.6,1.2,2.4,0.34,0.5,0.1,0.5,0.11,0,0.5,2.2,2019-01-30,204,9
13,8.2,1.3,0.39,3.9,1,0.7,1.44,0.4,0.5,0.1,1.6,0.1,1.5,2.5,1.3,1.2,0.53,0.63,1.5,0.8,0.7,0.55,0.9,0.5,0.5,0.5,1.2,0.8,0.3,0.73,0.2,1.2,1.2,2019-01-30,205,9
9,15.9,1.26,0.36,8.8,1.2,1.4,0.85,0.9,1.2,0.3,3.4,0.3,3.1,6.1,3.4,2.7,0.56,0.63,4.3,2.7,1.7,0.62,1.8,0.8,1,0.44,1.7,1.1,0.6,0.67,0.1,1.2,1.2,2019-01-30,206,9
19,11.8,0.64,0.32,3,0.6,1.1,0.55,0.4,0.4,0.2,2.6,1,1.6,3.3,1.3,2.1,0.38,0.4,2.2,1.2,1.1,0.52,1.1,0.1,1,0.1,0.6,0.4,0.3,0.58,0.1,0.7,1.7,2019-01-30,207,9
