Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Pts,Stl,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,Player_ID
0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,203
0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,203
0,0,0,1,0,1,0,0,0,0,3,15,0,0,0,1,0,1,0,1,0,0,0,203
0,0,0,1,0,1,0,0,0,0,3,16,0,0,0,1,0,1,0,0,0,0,0,203
0,0,1,1,1,0,0,0,0,0,3,17,0,3,0,1,1,0,1,0,0,0,0,203
0,0,1,1,0,1,0,0,0,0,3,1,0,0,0,1,0,1,1,0,0,0,0,207
0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,207
0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,207
0,0,0,0,0,0,0,0,0,1,3,17,0,0,0,0,0,0,0,0,0,0,0,207
0,0,0,1,0,1,0,0,0,0,3,18,0,0,0,1,0,1,0,0,0,0,0,207
0,0,0,2,0,2,0,0,0,0,3,1,0,0,0,1,0,1,0,0,1,0,1,214
0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,214
0,0,1,1,1,0,0,0,0,1,3,12,0,2,0,0,0,0,1,0,1,1,0,214
0,0,0,1,0,1,0,0,0,1,3,13,0,0,0,0,0,0,0,1,1,0,1,214
0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,214
0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,214
0,0,1,1,0,1,0,0,0,0,3,16,0,0,0,0,0,0,1,0,1,0,1,214
0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,214
0,0,0,1,0,1,0,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0,0,201
0,0,1,1,1,0,0,0,0,0,3,3,1,2,0,0,0,0,2,0,1,1,0,201
0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,201
0,0,0,1,0,1,0,0,0,1,3,5,1,0,0,1,0,1,1,1,0,0,0,201
0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,201
0,0,0,1,0,1,0,0,0,0,3,7,0,0,0,0,0,0,0,0,1,0,1,201
0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,201
0,0,0,1,0,1,0,0,0,0,3,11,0,0,0,0,0,0,0,0,1,0,1,201
0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,201
1,0,0,0,0,0,0,0,0,0,3,13,0,0,2,0,0,0,0,0,0,0,0,201
