Format_ID,Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Category_ID,Element_ID,Team_ID
2,2018-12-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,35,5
1,2018-12-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,36,5
2,2018-12-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,36,5
1,2018-12-23,0.36,18,16.4,0.91,0.25,Below Average,12.5,5.5,18,0.31,0.46,0,0,0,0.31,7,37,5
2,2018-12-23,0.23,12.3,12.8,1.05,0.41,Average,7.8,4.4,12.3,0.36,0.52,0,0.01,0.01,0.36,7,37,5
1,2018-12-23,0.61,10.9,8.8,0.8,0.23,Below Average,8,2.9,10.9,0.27,0.4,0,0,0,0.27,7,38,5
2,2018-12-23,0.49,6,5.4,0.9,0.59,Good,4.2,1.8,6,0.31,0.44,0,0.01,0.01,0.31,7,38,5
1,2018-12-23,0.39,7.1,7.7,1.08,0.5,Average,4.5,2.6,7.1,0.37,0.54,0,0,0,0.37,7,39,5
2,2018-12-23,0.51,6.3,7.4,1.19,0.3,Below Average,3.7,2.6,6.3,0.41,0.59,0,0,0,0.41,7,39,5
1,2018-12-23,0.18,9.2,5.8,0.63,0.19,Below Average,6.6,2.6,9.2,0.28,0.31,0,0.01,0.01,0.28,8,40,5
2,2018-12-23,0.14,7.5,6.1,0.81,0.36,Average,4.8,2.8,7.5,0.37,0.4,0,0.01,0.01,0.37,8,40,5
1,2018-12-23,0.2,6,3.9,0.65,0.31,Average,4.1,1.9,6,0.32,0.32,0,0.01,0.01,0.32,9,41,5
2,2018-12-23,0.23,4.9,3.9,0.8,0.4,Average,3,1.9,4.9,0.39,0.39,0,0.02,0.02,0.39,9,41,5
1,2018-12-23,0.1,3.1,1.2,0.38,0.06,Poor,2.5,0.6,3.1,0.19,0.19,0,0,0,0.19,9,42,5
2,2018-12-23,0.13,2.7,2.3,0.84,0.23,Below Average,1.6,1.1,2.7,0.41,0.41,0,0.03,0.03,0.41,9,42,5
1,2018-12-23,0.7,20.9,19.8,0.94,0.34,Average,14.3,6.6,20.9,0.32,0.47,0,0,0,0.32,9,43,5
2,2018-12-23,0.65,13.8,14.5,1.06,0.35,Average,8.9,4.8,13.8,0.35,0.53,0,0,0,0.35,9,43,5
