Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Pts,Stl,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm,Player_ID
0,0,0,0,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,134
0,0,1,0,0,0,0,0,0,1,11,15,0,0,0,0,0,0,1,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,0,0,134
0,0,0,2,1,1,0,0,0,0,11,17,2,2,0,0,0,0,2,0,2,1,1,134
0,1,0,1,0,1,2,2,0,2,11,20,1,2,0,0,0,0,1,1,1,0,1,134
0,1,1,1,1,0,0,0,0,0,11,23,0,2,0,0,0,0,1,0,1,1,0,134
0,0,1,0,0,0,0,0,0,0,11,25,0,0,0,0,0,0,1,0,0,0,0,134
0,0,1,0,0,0,2,1,1,0,11,26,0,1,0,0,0,0,1,0,0,0,0,134
0,0,0,0,0,0,0,0,0,0,11,28,0,0,0,0,0,0,0,0,0,0,0,134
0,1,2,2,1,1,0,0,0,1,13,3,0,2,0,0,0,0,2,1,2,1,1,134
0,0,0,3,2,1,0,0,0,1,13,4,0,4,0,0,0,0,0,1,3,2,1,134
0,0,2,2,1,1,0,0,0,0,13,6,1,2,0,0,0,0,3,0,2,1,1,134
1,0,0,1,1,0,0,0,0,0,13,11,0,2,1,0,0,0,0,0,1,1,0,134
1,0,1,0,0,0,0,0,0,0,13,12,0,0,1,0,0,0,1,1,0,0,0,134
0,0,0,0,0,0,0,0,0,1,13,13,0,0,0,0,0,0,0,0,0,0,0,134
0,0,1,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,1,0,0,0,0,134
0,0,0,0,0,0,2,2,0,0,13,15,0,2,0,0,0,0,0,0,0,0,0,134
0,0,1,1,1,0,1,0,1,0,13,16,0,2,0,0,0,0,1,0,1,1,0,134
0,0,2,1,0,1,2,1,1,0,13,18,0,1,0,0,0,0,2,0,1,0,1,134
0,0,2,6,2,4,0,0,0,1,8,1,1,4,0,0,0,0,3,1,6,2,4,134
0,0,0,0,0,0,0,0,0,1,8,4,0,0,0,0,0,0,0,1,0,0,0,134
1,0,1,0,0,0,0,0,0,0,8,10,0,0,1,0,0,0,1,1,0,0,0,134
0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,134
1,0,4,3,1,2,2,2,0,1,8,14,0,4,0,0,0,0,4,1,3,1,2,134
0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,134
0,0,2,0,0,0,0,0,0,0,8,20,0,0,0,0,0,0,2,1,0,0,0,134
0,1,0,1,1,0,4,4,0,2,8,21,0,6,0,0,0,0,0,0,1,1,0,134
0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,138
