team_name,format_name,category_name,element_name,format_id,category_id,element_id,team_id,uploaded_date,percentage_time,poss_per_game,points,ppp,rank,rating,fg_miss,fg_made,fga,fg,adjusted_fg,percent_turnover,percent_ft,percent_shooting_foul,percent_score
Milwaukee School of Engineering,Offensive           ,Overall Offense                                   ,Out of Bounds (End)                               ,1,10,12,1,2018-12-23,0.08,5.8,6.6,1.14,0.95,Excellent                     ,1.5,2.5,4,0.61,0.72,0.17,0.16,0.11,0.53
Lakeland (WI) Muskies,Offensive           ,Overall Offense                                   ,Overall                                           ,1,10,1,5,2019-01-09,1,86.4,76.5,0.89,0.59,Good                          ,38.7,26,64.7,0.4,0.47,0.13,0.14,0.1,0.41
Dominican (IL) Stars,Defensive           ,Overall Defense                                   ,Overall                                           ,2,1,1,9,2018-12-23,1,90.3,84.2,0.93,0.21,Below Average                 ,35,30.9,65.9,0.47,0.53,0.17,0.14,0.1,0.43
Edgewood College (WI) Eagles,Offensive           ,Overall Offense                                   ,After Time Outs                                   ,1,10,14,8,2018-12-23,0.11,7.8,6.5,0.84,0.51,Good                          ,3.8,2.7,6.5,0.42,0.47,0.13,0.05,0.04,0.38
Dominican (IL) Stars,Defensive           ,Overall Defense                                   ,Out of Bounds (Side)                              ,2,1,13,9,2018-12-23,0.05,3.6,3.9,1.08,0.1,Poor                          ,1.4,1.3,2.6,0.48,0.55,0.13,0.15,0.13,0.5
Edgewood College (WI) Eagles,Defensive           ,Overall Defense                                   ,Transition                                        ,2,1,9,8,2018-12-23,0.16,12.9,15.7,1.22,0.02,Poor                          ,4.2,5.5,9.7,0.57,0.65,0.11,0.16,0.15,0.56
Dominican (IL) Stars,Offensive           ,Overall Offense                                   ,Overall Half Court                                ,1,10,10,9,2018-12-23,0.74,64.2,49.1,0.77,0.17,Below Average                 ,29.2,17.6,46.8,0.38,0.46,0.19,0.09,0.05,0.33
Benedictine (IL) Eagles,Defensive           ,Overall Defense                                   ,After Time Outs                                   ,2,1,14,6,2019-01-09,0.13,8.9,7.1,0.8,0.65,Very Good                     ,3.5,2.5,6.1,0.42,0.48,0.23,0.09,0.04,0.37
Aurora University,Defensive           ,Overall Defense                                   ,Short Shot Clock <4 Seconds                       ,2,1,11,7,2018-12-23,0.02,2.1,2.5,1.19,0.02,Poor                          ,0.7,1,1.7,0.59,0.68,0.14,0.05,0.05,0.52
Rockford Regents,Defensive           ,Overall Defense                                   ,Out of Bounds (End)                               ,2,1,12,4,2018-12-23,0.06,4.1,2.6,0.64,0.88,Excellent                     ,1.7,1,2.7,0.37,0.47,0.29,0.07,0.07,0.27
Edgewood College (WI) Eagles,Defensive           ,Overall Defense                                   ,Overall                                           ,2,1,1,8,2019-01-09,1,80.1,76.9,0.96,0.1,Poor                          ,33.8,28.2,62,0.46,0.51,0.13,0.12,0.09,0.44
Lakeland (WI) Muskies,Defensive           ,Overall Defense                                   ,Press Defense                                     ,2,1,17,5,2019-01-09,0.05,3.4,3.4,1.02,0.15,Below Average                 ,1,0.6,1.6,0.36,0.46,0.15,0.38,0.06,0.51
Marian University (WI) Sabres,Offensive           ,Overall Offense                                   ,Out of Bounds (End)                               ,1,10,12,10,2019-01-09,0.08,5.6,5.1,0.9,0.72,Very Good                     ,2.2,1.8,4,0.44,0.51,0.18,0.15,0.12,0.41
Dominican (IL) Stars,Offensive           ,Overall Offense                                   ,Overall                                           ,1,10,1,9,2018-12-23,1,86.5,70.9,0.82,0.29,Below Average                 ,37.4,26,63.4,0.41,0.49,0.19,0.09,0.06,0.36
Illinois Tech Scarlet Hawks,Offensive           ,Overall Offense                                   ,Overall                                           ,1,10,1,12,2019-01-09,1,80.3,66.2,0.83,0.28,Below Average                 ,33.5,25.2,58.7,0.43,0.48,0.18,0.11,0.07,0.38
Wisconsin Lutheran Warriors,Offensive           ,Overall Offense                                   ,Out of Bounds (Side)                              ,1,10,13,2,2019-01-09,0.04,3.2,2.1,0.65,0.23,Below Average                 ,1.5,0.7,2.1,0.31,0.36,0.19,0.15,0.08,0.31
Wisconsin Lutheran Warriors,Defensive           ,Overall Defense                                   ,Zone Defense                                      ,2,1,16,2,2019-01-09,0.06,4.5,4.9,1.07,0.17,Below Average                 ,1.9,1.7,3.7,0.47,0.6,0.12,0.1,0.06,0.43
Dominican (IL) Stars,Offensive           ,Overall Offense                                   ,Press Offense                                     ,1,10,46,9,2019-01-09,0.09,5.8,4.9,0.84,0.56,Good                          ,1.7,1.8,3.5,0.51,0.65,0.33,0.07,0.01,0.33
Concordia (Chicago) Cougars,Offensive           ,Overall Offense                                   ,Out of Bounds (Side)                              ,1,10,13,11,2019-01-09,0.04,2.8,3,1.08,0.93,Excellent                     ,1,1.2,2.2,0.55,0.64,0.14,0.08,0.08,0.47
Dominican (IL) Stars,Defensive           ,Overall Defense                                   ,Short Shot Clock <4 Seconds                       ,2,1,11,9,2018-12-23,0.03,2.6,2,0.76,0.41,Average                       ,1.5,0.7,2.2,0.33,0.35,0.07,0.14,0.14,0.38
Edgewood College (WI) Eagles,Offensive           ,Overall Offense                                   ,Overall Half Court                                ,1,10,10,8,2019-01-09,0.92,72.1,63.5,0.88,0.67,Very Good                     ,30.1,22.1,52.2,0.42,0.48,0.16,0.14,0.08,0.41
Milwaukee School of Engineering,Defensive           ,Overall Defense                                   ,Transition                                        ,2,1,9,1,2018-12-23,0.16,13.7,11.8,0.86,0.86,Excellent                     ,5.5,4.3,9.8,0.44,0.52,0.18,0.12,0.11,0.39
Marian University (WI) Sabres,Defensive           ,Overall Defense                                   ,Transition                                        ,2,1,9,10,2018-12-23,0.18,16,15.9,0.99,0.44,Average                       ,5.7,6.3,12,0.53,0.57,0.17,0.12,0.1,0.46
Aurora University,Defensive           ,Overall Defense                                   ,Transition                                        ,2,1,9,7,2018-12-23,0.21,18.3,18.9,1.03,0.31,Average                       ,7.1,7.1,14.2,0.5,0.56,0.13,0.12,0.07,0.48
Wisconsin Lutheran Warriors,Defensive           ,Overall Defense                                   ,Zone Defense                                      ,2,1,16,2,2018-12-23,0.06,4.5,4.4,0.98,0.32,Average                       ,2.2,1.6,3.8,0.43,0.53,0.09,0.1,0.05,0.4
Rockford Regents,Defensive           ,Overall Defense                                   ,After Time Outs                                   ,2,1,14,4,2018-12-23,0.11,8.3,6.1,0.74,0.77,Very Good                     ,4.3,2.3,6.5,0.35,0.4,0.17,0.07,0.02,0.32
Illinois Tech Scarlet Hawks,Defensive           ,Overall Defense                                   ,Out of Bounds (Side)                              ,2,1,13,12,2019-01-09,0.06,3.5,2.5,0.71,0.66,Very Good                     ,1.8,1,2.8,0.36,0.38,0.08,0.12,0.04,0.35
Concordia (Chicago) Cougars,Defensive           ,Overall Defense                                   ,Out of Bounds (End)                               ,2,1,12,11,2018-12-23,0.06,4.8,5.4,1.11,0.05,Poor                          ,1.7,1.9,3.6,0.53,0.6,0.09,0.21,0.21,0.49
Marian University (WI) Sabres,Defensive           ,Overall Defense                                   ,Press Defense                                     ,2,1,17,10,2018-12-23,0.18,12.9,10.7,0.83,0.48,Average                       ,4.6,3.7,8.3,0.45,0.49,0.23,0.13,0.07,0.41
Aurora University,Defensive           ,Overall Defense                                   ,After Time Outs                                   ,2,1,14,7,2018-12-23,0.12,8.5,7.3,0.86,0.45,Average                       ,4.1,2.6,6.7,0.39,0.43,0.11,0.12,0.05,0.41
Milwaukee School of Engineering,Offensive           ,Overall Offense                                   ,Overall Half Court                                ,1,10,10,1,2018-12-23,0.85,71.1,68.2,0.96,0.92,Excellent                     ,25.6,24.2,49.8,0.49,0.55,0.18,0.15,0.09,0.45
Edgewood College (WI) Eagles,Offensive           ,Overall Offense                                   ,Out of Bounds (Side)                              ,1,10,13,8,2019-01-09,0.04,2.5,1.9,0.74,0.42,Average                       ,1.4,0.6,2,0.32,0.38,0.11,0.09,0.09,0.34
