ast,block,defreb,fga,fg_made,fg_miss,fta,ft_made,ft_miss,foul,started,game_id,lineup_id,lineup_players,lineup_score,min,offreb,oppo_ast,oppo_block,oppo_defreb,oppo_fga,oppo_fg_made,oppo_fg_miss,oppo_fta,oppo_ft_made,oppo_ft_miss,oppo_foul,oppo_offreb,oppo_score,oppo_stl,oppo_three_fga,oppo_three_fg_made,oppo_three_fg_miss,oppo_ttlreb,oppo_turnover,oppo_two_fga,oppo_two_fg_made,oppo_two_fg_miss,plusminus,stl,three_fga,three_fg_made,three_fg_miss,ended,ttlreb,turnover,two_fga,two_fg_made,two_fg_miss,session_number,team_id
4,0,2,9,7,2,0,0,0,1,20,6,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",16,5.01666666666667,0,2,0,2,5,3,2,1,1,0,1,0,8,0,2,1,1,2,4,3,2,1,8,4,3,2,1,14.9833333333333,2,0,6,5,1,1,12
0,0,1,1,0,1,2,1,1,0,14.9833333333333,6,2,"Anthony Mosley,Jake Digiorgio,Otis Reale,Parker Joncus,Ricardo Whitehead",1,1.31666666666667,0,1,0,1,3,1,2,0,0,0,1,1,3,1,3,1,2,2,0,0,0,0,-2,0,0,0,0,13.6666666666667,1,1,1,0,1,1,12
0,1,1,1,0,1,0,0,0,0,13.6666666666667,6,3,"Anthony Mosley,Capriest Gardner,Max Hisatake,Milos Dugalic,Otis Reale",0,1.51666666666667,0,2,0,1,3,2,1,0,0,0,0,0,5,1,1,1,0,1,0,2,1,1,-5,0,1,0,1,12.15,1,1,0,0,0,1,12
0,0,0,1,1,0,0,0,0,0,12.15,6,4,"Ahmad Muhammad,Calvin Schmitz,Max Hisatake,Milos Dugalic,Otis Reale",2,1.4,0,1,0,0,2,1,1,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,-1,0,0,0,0,10.75,0,1,1,1,0,1,12
1,0,1,2,2,0,0,0,0,1,10.75,6,5,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Max Hisatake,Milos Dugalic",4,1.3,0,0,0,1,1,0,1,2,1,1,2,0,1,1,1,0,1,1,2,0,0,0,3,0,0,0,0,9.45,1,1,2,2,0,1,12
0,0,0,2,1,1,0,0,0,0,9.45,6,6,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Max Hisatake,Parker Joncus",2,1.2,0,2,0,0,2,2,0,0,0,0,0,0,4,1,0,0,0,0,0,2,2,0,-2,0,1,0,1,8.25,0,1,1,1,0,1,12
1,0,2,2,1,1,0,0,0,1,8.25,6,7,"Ahmad Muhammad,Anthony Mosley,Cody Mattson,Jake Digiorgio,Max Hisatake",2,2.33333333333333,0,0,0,1,8,2,6,2,0,2,0,5,4,1,3,0,3,6,0,5,2,3,-2,0,1,0,1,5.91666666666667,2,1,1,1,0,1,12
0,0,0,2,1,1,0,0,0,0,5.91666666666667,6,8,"Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic,Zach Parduhn",2,1.26666666666667,0,0,0,1,3,3,0,0,0,0,0,0,6,1,0,0,0,1,0,3,3,0,-4,0,0,0,0,4.65,0,1,2,1,1,1,12
0,1,1,1,0,1,0,0,0,3,4.65,6,9,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake,Milos Dugalic,Zach Parduhn",0,1.21666666666667,0,1,0,1,2,1,1,0,0,0,0,0,2,1,0,0,0,1,0,2,1,1,-2,0,0,0,0,3.43333333333333,1,2,1,0,1,1,12
0,0,2,1,0,1,0,0,0,1,3.43333333333333,6,10,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic",0,1.5,0,0,0,1,2,0,2,2,2,0,1,0,2,2,1,0,1,1,0,1,0,1,-2,0,1,0,1,1.93333333333333,2,2,0,0,0,1,12
0,1,2,5,0,5,0,0,0,0,1.93333333333333,6,11,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",0,1.93333333333333,2,0,1,2,3,1,2,0,0,0,1,0,2,1,0,0,0,2,1,3,1,2,0,0,2,0,2,0,4,1,3,0,3,1,12
3,0,4,9,6,3,0,0,0,1,20,6,12,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",13,4.85,0,2,1,2,7,2,5,0,0,0,1,1,4,0,1,0,1,3,2,6,2,4,9,1,3,1,2,15.15,4,0,6,5,1,2,12
0,0,1,3,3,0,0,0,0,1,15.15,6,13,"Anthony Mosley,Capriest Gardner,Max Hisatake,Otis Reale,Parker Joncus",6,3.03333333333333,0,0,0,0,3,2,1,0,0,0,0,0,5,2,2,1,1,0,1,1,1,0,1,0,0,0,0,12.1166666666667,1,2,3,3,0,2,12
1,0,1,3,2,1,0,0,0,0,12.1166666666667,6,14,"Anthony Mosley,Capriest Gardner,Jake Digiorgio,Otis Reale,Parker Joncus",5,1.83333333333333,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,2,0,2,5,0,2,1,1,10.2833333333333,1,0,1,1,0,2,12
0,1,2,3,2,1,0,0,0,1,10.2833333333333,6,15,"Anthony Mosley,Jake Digiorgio,Max Hisatake,Otis Reale,Parker Joncus",4,1.38333333333333,0,0,0,1,2,0,2,2,1,1,0,0,1,0,1,0,1,1,0,1,0,1,3,0,0,0,0,8.9,2,0,3,2,1,2,12
3,1,9,9,4,5,12,6,6,3,8.9,6,16,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",14,8.9,1,2,1,7,15,4,11,3,2,1,11,2,11,1,8,1,7,9,2,7,3,4,0,2,2,0,2,0,10,2,7,4,3,2,12
0,0,4,6,1,5,1,1,0,0,20,1,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic",3,3.85,0,2,1,5,7,3,4,0,0,0,1,0,6,2,2,0,2,5,1,5,3,2,-3,1,1,0,1,16.15,4,2,5,1,4,1,12
0,0,2,4,2,2,1,0,1,0,16.15,1,2,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",4,1.9,1,1,1,1,6,2,4,0,0,0,1,2,5,0,5,1,4,3,0,1,1,0,-1,0,0,0,0,14.25,3,1,4,2,2,1,12
0,0,0,0,0,0,0,0,0,1,14.25,1,3,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,1.28333333333333,0,1,0,0,2,1,1,0,0,0,1,0,2,0,1,0,1,0,0,1,1,0,-2,0,0,0,0,12.9666666666667,0,2,0,0,0,1,12
0,0,2,2,1,1,0,0,0,0,12.9666666666667,1,4,"Anthony Mosley,Capriest Gardner,Jake Bruns,Max Hisatake,Parker Joncus",3,1.76666666666667,0,1,0,1,3,1,2,0,0,0,1,0,3,1,2,1,1,1,1,1,0,1,0,0,1,1,0,11.2,2,1,1,0,1,1,12
0,1,1,2,0,2,0,0,0,0,11.2,1,5,"Anthony Mosley,Capriest Gardner,Jake Bruns,Jake Digiorgio,Parker Joncus",0,0.866666666666665,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,0,1,0,1,10.3333333333333,1,0,1,0,1,1,12
0,0,2,3,1,2,0,0,0,1,10.3333333333333,1,6,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio",2,1.83333333333333,0,0,0,2,3,0,3,2,2,0,0,1,2,0,2,0,2,3,0,1,0,1,0,0,0,0,0,8.5,2,0,3,1,2,1,12
1,0,1,6,3,3,1,0,1,1,8.5,1,7,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake",6,4.25,2,0,0,2,4,2,2,0,0,0,3,1,4,1,1,0,1,3,2,3,2,1,2,1,0,0,0,4.25,3,1,6,3,3,1,12
0,0,1,2,1,1,0,0,0,1,4.25,1,8,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",2,1.38333333333333,1,0,0,0,3,1,2,0,0,0,0,0,2,0,0,0,0,0,1,3,1,2,0,0,0,0,0,2.86666666666667,2,2,2,1,1,1,12
0,0,0,0,0,0,0,0,0,1,2.86666666666667,1,9,"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Kohl Linder,Parker Joncus",0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61666666666667,0,0,0,0,0,1,12
1,1,2,4,2,2,0,0,0,0,2.61666666666667,1,10,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Kohl Linder,Parker Joncus",4,2.61666666666667,0,1,1,2,5,1,4,0,0,0,0,1,3,0,2,1,1,3,1,3,0,3,0,1,0,0,0,0,2,0,4,2,2,1,12
1,0,2,7,3,4,2,2,0,1,20,1,11,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Milos Dugalic",9,3.85,3,1,0,1,3,1,2,2,1,1,1,0,3,0,1,0,1,1,2,2,1,1,6,1,1,1,0,16.15,5,1,6,2,4,2,12
0,0,0,1,0,1,0,0,0,0,16.15,1,12,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",0,0.866666666666665,1,1,0,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,1,0,-2,0,1,0,1,15.2833333333333,1,1,0,0,0,2,12
2,0,2,5,2,3,0,0,0,0,15.2833333333333,1,13,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",5,2.4,1,0,0,2,3,1,2,0,0,0,0,0,2,1,1,0,1,2,1,2,1,1,3,0,2,1,1,12.8833333333333,3,1,3,1,2,2,12
1,0,1,4,1,3,0,0,0,1,12.8833333333333,1,14,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Kohl Linder,Parker Joncus",3,1.45,2,0,1,1,1,0,1,2,2,0,1,0,2,0,1,0,1,1,1,0,0,0,1,1,3,1,2,11.4333333333333,3,0,1,0,1,2,12
0,0,0,2,0,2,0,0,0,1,11.4333333333333,1,15,"Anthony Mosley,Jake Bruns,Kohl Linder,Max Hisatake,Parker Joncus",0,0.966666666666667,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,2,1,0,0,0,-2,0,2,0,2,10.4666666666667,0,0,0,0,0,2,12
0,0,1,1,0,1,0,0,0,0,10.4666666666667,1,16,"Ahmad Muhammad,Anthony Mosley,Max Hisatake,Parker Joncus,Ricardo Whitehead",0,0.5,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,9.96666666666667,1,0,1,0,1,2,12
0,0,1,2,0,2,0,0,0,0,9.96666666666667,1,17,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Max Hisatake,Ricardo Whitehead",0,0.983333333333334,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,8.98333333333333,2,1,1,0,1,2,12
1,0,2,2,1,1,0,0,0,2,8.98333333333333,1,18,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake",3,1.78333333333333,1,0,0,0,3,0,3,0,0,0,1,1,0,1,2,0,2,1,1,1,0,1,3,1,1,1,0,7.2,3,3,1,0,1,2,12
0,0,0,1,0,1,0,0,0,3,7.2,1,19,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",0,0.8,0,0,0,1,0,0,0,4,3,1,0,0,3,0,0,0,0,1,0,0,0,0,-3,0,0,0,0,6.4,0,0,1,0,1,2,12
0,0,4,11,2,9,2,2,0,4,6.4,1,20,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",7,6.4,4,2,0,4,7,2,5,8,6,2,2,1,11,0,2,1,1,5,0,5,1,4,0,0,3,1,2,0,8,2,8,1,7,2,12
1,1,1,3,1,2,0,0,0,0,20,4,1,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",3,2.43333333333333,0,1,0,2,5,2,3,0,0,0,1,1,4,0,0,0,0,3,0,5,2,3,-1,0,2,1,1,17.5666666666667,1,0,1,0,1,1,12
1,1,3,6,2,4,0,0,0,1,17.5666666666667,4,2,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",4,3.4,1,0,0,1,5,2,3,0,0,0,2,0,4,2,1,0,1,1,1,4,2,2,0,0,0,0,0,14.1666666666667,4,2,6,2,4,1,12
1,0,1,2,2,0,0,0,0,1,14.1666666666667,4,3,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",5,0.783333333333333,0,0,0,0,1,0,1,2,2,0,0,0,2,0,0,0,0,0,0,1,0,1,3,0,1,1,0,13.3833333333333,1,0,1,1,0,1,12
2,1,1,5,3,2,0,0,0,1,13.3833333333333,4,4,"Ahmad Muhammad,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Max Hisatake",7,2.03333333333333,0,0,0,2,3,1,2,0,0,0,1,1,2,0,1,0,1,3,2,2,1,1,5,2,1,1,0,11.35,1,0,4,2,2,1,12
0,0,0,1,0,1,2,0,2,1,11.35,4,5,"Anthony Mosley,Calvin Schmitz,Jake Digiorgio,Max Hisatake,Zach Parduhn",0,1.98333333333333,1,1,0,1,2,2,0,0,0,0,1,0,4,0,0,0,0,1,0,2,2,0,-4,0,1,0,1,9.36666666666667,1,1,0,0,0,1,12
0,0,0,1,0,1,0,0,0,0,9.36666666666667,4,6,"Ahmad Muhammad,Anthony Mosley,Cody Mattson,Jake Digiorgio,Max Hisatake",0,0.966666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,8.4,0,0,1,0,1,1,12
0,0,0,4,0,4,0,0,0,1,8.4,4,7,"Ahmad Muhammad,Anthony Mosley,Cody Mattson,Max Hisatake,Ricardo Whitehead",0,2.13333333333333,1,1,0,3,2,2,0,0,0,0,0,0,5,0,1,1,0,3,1,1,1,0,-5,1,1,0,1,6.26666666666667,1,1,3,0,3,1,12
0,0,1,1,0,1,0,0,0,0,6.26666666666667,4,8,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Parker Joncus,Ricardo Whitehead",0,0.183333333333334,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6.08333333333333,1,0,1,0,1,1,12
3,0,0,7,5,2,1,0,1,1,6.08333333333333,4,9,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Milos Dugalic,Parker Joncus",11,6.03333333333333,0,5,0,3,9,6,3,0,0,0,2,2,13,1,1,1,0,5,3,8,5,3,-2,2,3,1,2,0.05,0,1,4,4,0,1,12
0,0,0,1,0,1,0,0,0,0,0.05,4,10,"Anthony Mosley,Capriest Gardner,Jake Bruns,Jake Digiorgio,Parker Joncus",0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,12
0,1,2,2,0,2,2,1,1,1,20,4,11,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Milos Dugalic,Parker Joncus",1,1.76666666666667,0,1,1,3,4,1,3,0,0,0,1,1,2,0,0,0,0,4,0,4,1,3,-1,0,0,0,0,18.2333333333333,2,0,2,0,2,2,12
2,0,1,7,3,4,0,0,0,1,18.2333333333333,4,12,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",7,4.68333333333333,2,0,0,0,3,2,1,2,1,1,4,0,5,0,0,0,0,0,3,3,2,1,2,2,3,1,2,13.55,3,2,4,2,2,2,12
0,0,0,2,0,2,0,0,0,1,13.55,4,13,"Ahmad Muhammad,Anthony Mosley,Calvin Schmitz,Kohl Linder,Max Hisatake",0,1.15,2,0,0,0,2,0,2,2,1,1,1,2,1,0,2,0,2,2,0,0,0,0,-1,0,2,0,2,12.4,2,0,0,0,0,2,12
0,0,0,1,0,1,0,0,0,1,12.4,4,14,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Kohl Linder,Max Hisatake",0,0.333333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,12.0666666666667,0,0,0,0,0,2,12
0,0,0,0,0,0,0,0,0,1,12.0666666666667,4,15,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Kohl Linder",0,0.15,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,11.9166666666667,0,0,0,0,0,2,12
0,0,1,0,0,0,2,1,1,0,11.9166666666667,4,16,"Brett Ott,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Kohl Linder",1,0.899999999999999,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,11.0166666666667,1,1,0,0,0,2,12
0,0,1,2,1,1,0,0,0,0,11.0166666666667,4,17,"Anthony Mosley,Calvin Schmitz,Jake Bruns,Jake Digiorgio,Kohl Linder",2,1.6,0,1,0,1,3,2,1,0,0,0,0,0,4,0,1,0,1,1,0,2,2,0,-2,0,0,0,0,9.41666666666667,1,0,2,1,1,2,12
1,0,2,9,2,7,6,3,3,1,9.41666666666667,4,18,"Anthony Mosley,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",8,4.75,2,3,3,3,6,3,3,2,2,0,3,1,8,0,0,0,0,4,1,6,3,3,0,1,2,1,1,4.66666666666667,4,0,7,1,6,2,12
0,0,4,2,0,2,2,1,1,1,4.66666666666667,4,19,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio,Max Hisatake,Parker Joncus",1,2.46666666666667,1,0,0,2,4,0,4,0,0,0,1,0,0,0,1,0,1,2,0,3,0,3,1,0,0,0,0,2.2,5,3,2,0,2,2,12
