Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Format_ID,Category_ID,Element_ID,Team_ID
2019-01-15,1,82.2,72.1,0.88,0.52,Good,33,25.2,58.2,0.43,0.5,0.18,0.13,0.09,0.41,2,1,1,6
2019-01-15,1,81.4,72.3,0.89,0.59,Good,32.3,26.1,58.4,0.45,0.51,0.18,0.13,0.09,0.41,1,10,1,6
2019-01-15,0.17,13.6,12.8,0.94,0.7,Very Good,5.4,4.5,9.9,0.45,0.5,0.14,0.16,0.13,0.45,2,1,9,6
2019-01-15,0.17,13.6,12.8,0.94,0.7,Very Good,5.4,4.5,9.9,0.45,0.5,0.14,0.16,0.13,0.45,2,2,9,6
2019-01-15,0.13,10.9,11.9,1.09,0.88,Excellent,3.5,4.2,7.7,0.54,0.61,0.15,0.19,0.18,0.52,1,2,9,6
2019-01-15,0.13,10.9,11.9,1.09,0.88,Excellent,3.5,4.2,7.7,0.54,0.61,0.15,0.19,0.18,0.52,1,10,9,6
2019-01-15,0.83,68.6,59.3,0.86,0.45,Average,27.6,20.7,48.3,0.43,0.5,0.18,0.13,0.08,0.4,2,1,10,6
2019-01-15,0.87,70.5,60.3,0.86,0.53,Good,28.8,21.9,50.7,0.43,0.49,0.19,0.12,0.08,0.39,1,10,10,6
2019-01-15,0.05,3.7,3.7,1,0.04,Poor,1.7,1.4,3.1,0.46,0.55,0.12,0.05,0.03,0.42,2,1,11,6
2019-01-15,0.03,2.8,1.4,0.5,0.11,Poor,1.8,0.4,2.3,0.2,0.24,0.12,0.08,0.06,0.22,1,10,11,6
2019-01-15,0.09,6.2,5.6,0.91,0.27,Below Average,2.7,2.1,4.8,0.43,0.51,0.16,0.08,0.07,0.4,2,1,12,6
2019-01-15,0.08,5.4,4.2,0.78,0.38,Average,2.4,1.8,4.2,0.43,0.46,0.16,0.09,0.06,0.36,1,10,12,6
2019-01-15,0.04,3,3,1,0.11,Poor,1.3,1.1,2.3,0.45,0.52,0.09,0.13,0.09,0.46,2,1,13,6
2019-01-15,0.05,3.5,2.2,0.62,0.18,Below Average,1.8,0.8,2.6,0.32,0.33,0.19,0.08,0.05,0.3,1,10,13,6
2019-01-15,0.13,8.8,6.9,0.79,0.71,Very Good,3.7,2.6,6.2,0.41,0.47,0.22,0.08,0.03,0.36,2,1,14,6
2019-01-15,0.13,8.8,7.2,0.82,0.45,Average,3.8,2.9,6.7,0.43,0.47,0.19,0.08,0.06,0.38,1,10,14,6
2019-01-15,0.99,68.2,58.8,0.86,0.42,Average,27.4,20.6,48.1,0.43,0.5,0.18,0.13,0.08,0.4,2,1,15,6
2019-01-15,0.01,0.4,0.4,1,-,-,0.1,0.1,0.2,0.5,0.75,0.25,0.25,0,0.5,2,1,16,6
2019-01-15,0.08,5.3,4.4,0.83,0.51,Good,1.8,1.5,3.3,0.46,0.54,0.25,0.15,0.03,0.4,2,1,17,6
2019-01-15,0.24,19.3,18.3,0.95,0.3,Below Average,9.9,6.3,16.2,0.39,0.52,0.11,0.06,0.05,0.37,2,2,2,6
2019-01-15,0.22,18.3,16.8,0.92,0.58,Good,10.3,5.9,16.2,0.37,0.49,0.08,0.05,0.04,0.36,1,2,2,6
2019-01-15,0.13,10.7,10.1,0.94,0.08,Poor,3.8,3.6,7.3,0.49,0.55,0.21,0.12,0.07,0.43,2,2,3,6
2019-01-15,0.11,9.1,6.1,0.67,0.27,Below Average,4.1,2.3,6.4,0.37,0.4,0.23,0.08,0.07,0.32,1,2,3,6
2019-01-15,0.1,7.9,5.9,0.74,0.8,Very Good,3.6,1.9,5.6,0.35,0.35,0.14,0.19,0.15,0.37,2,2,4,6
2019-01-15,0.09,7.6,7.1,0.93,0.8,Very Good,2.6,3,5.6,0.54,0.54,0.15,0.15,0.09,0.49,1,2,4,6
2019-01-15,0.07,5.6,5.9,1.06,0.6,Good,1.9,2.6,4.5,0.58,0.58,0.12,0.1,0.1,0.55,2,2,18,6
2019-01-15,0.08,6.6,7.3,1.11,0.62,Good,2,3.1,5.1,0.61,0.61,0.12,0.16,0.15,0.54,1,2,18,6
2019-01-15,0.06,4.9,5.7,1.16,0.22,Below Average,1.4,2,3.4,0.58,0.59,0.09,0.26,0.2,0.6,2,2,19,6
2019-01-15,0.06,4.8,5.3,1.12,0.7,Very Good,1.7,2.2,3.8,0.57,0.57,0.09,0.2,0.19,0.54,1,2,19,6
2019-01-15,0.06,4.7,3.9,0.84,0.61,Good,2.6,1.3,3.9,0.34,0.44,0.11,0.08,0.06,0.34,2,2,6,6
2019-01-15,0.09,7.3,6.2,0.85,0.43,Average,3.8,2.2,5.9,0.36,0.45,0.12,0.08,0.06,0.35,1,2,6,6
2019-01-15,0.05,4.4,2.9,0.66,0.81,Very Good,1.9,0.9,2.8,0.33,0.33,0.21,0.18,0.1,0.35,2,2,5,6
2019-01-15,0.05,3.8,2.8,0.75,0.44,Average,1.9,0.8,2.7,0.29,0.31,0.13,0.21,0.13,0.35,1,2,5,6
2019-01-15,0.03,2.7,2.1,0.76,0.85,Excellent,1.2,0.9,2.1,0.42,0.45,0.14,0.08,0.08,0.39,2,2,8,6
2019-01-15,0.04,3.2,3.7,1.16,0.83,Excellent,1.2,1.5,2.7,0.56,0.62,0.11,0.14,0.14,0.51,1,2,8,6
2019-01-15,0.03,2.3,1.9,0.85,0.39,Average,0.9,0.7,1.6,0.43,0.54,0.24,0.07,0.07,0.37,2,2,7,6
2019-01-15,0.02,1.9,1.2,0.6,0.14,Poor,1.1,0.4,1.5,0.26,0.32,0.17,0.06,0.06,0.26,1,2,7,6
2019-01-15,0.07,5.9,2.4,0.41,0.68,Very Good,0.4,0.5,0.9,0.56,0.59,0.59,0.26,0.01,0.26,2,2,20,6
2019-01-15,0.1,8,3.9,0.49,0.57,Good,0.3,0.5,0.8,0.6,0.63,0.65,0.26,0.04,0.27,1,2,20,6
2019-01-15,0.08,6.2,4.6,0.74,0.76,Very Good,2.8,1.6,4.3,0.36,0.4,0.2,0.13,0.08,0.35,2,3,21,6
2019-01-15,0.06,4.6,3.7,0.81,0.5,Average,2.3,1.1,3.4,0.33,0.38,0.13,0.17,0.11,0.36,1,3,21,6
2019-01-15,0.22,18.3,17.2,0.94,0.18,Below Average,7.1,6.3,13.4,0.47,0.55,0.19,0.1,0.08,0.42,2,3,22,6
2019-01-15,0.22,17.7,14.4,0.81,0.45,Average,8.3,5.7,14,0.41,0.46,0.16,0.08,0.08,0.36,1,3,22,6
2019-01-15,0.12,10.1,8.2,0.81,0.73,Very Good,4.8,2.8,7.6,0.37,0.4,0.12,0.15,0.12,0.39,2,3,23,6
2019-01-15,0.13,10.2,9.3,0.91,0.66,Very Good,4.1,3.9,8,0.49,0.51,0.13,0.11,0.07,0.45,1,3,23,6
2019-01-15,0.02,1.8,1.7,0.94,0.5,Average,0.9,0.6,1.5,0.41,0.54,0.16,0.03,0.03,0.34,2,4,24,6
2019-01-15,0.01,0.8,0.9,1.07,0.69,Very Good,0.4,0.3,0.7,0.46,0.62,0.13,0,0,0.4,1,4,24,6
2019-01-15,0.11,9.3,7.3,0.78,0.61,Good,3.3,2.7,6.1,0.45,0.54,0.29,0.07,0.07,0.35,2,4,25,6
2019-01-15,0.13,10.6,8.4,0.8,0.52,Good,4.3,3.3,7.6,0.44,0.51,0.24,0.07,0.07,0.34,1,4,25,6
2019-01-15,0.03,2.2,2.3,1.08,0.44,Average,1.2,0.9,2.1,0.43,0.54,0.03,0.03,0.03,0.44,2,4,26,6
2019-01-15,0.03,2.6,2.2,0.85,0.24,Below Average,1.6,0.9,2.4,0.36,0.46,0.06,0,0,0.34,1,4,26,6
2019-01-15,0,0.2,0.4,2,-,-,0,0.2,0.2,1,1.33,0.25,0,0,0.75,2,5,27,6
2019-01-15,0,0.3,0.5,1.8,-,-,0,0.2,0.2,1,1.33,0.4,0.2,0.2,0.6,1,5,27,6
2019-01-15,0.01,1,0.8,0.83,0.5,Average,0.4,0.3,0.7,0.42,0.5,0.22,0.17,0.11,0.33,2,5,28,6
2019-01-15,0.03,2.6,1.7,0.67,0.31,Average,1.2,0.7,1.9,0.38,0.44,0.24,0.02,0.02,0.3,1,5,28,6
2019-01-15,0.51,24.8,25.8,1.04,0.11,Poor,15.2,9.6,24.8,0.39,0.52,0,0.01,0.01,0.39,2,6,29,6
2019-01-15,0.52,26.4,22.8,0.87,0.25,Below Average,18,8.4,26.4,0.32,0.43,0,0.01,0.01,0.32,1,6,29,6
2019-01-15,0.04,1.8,1.9,1.06,0.06,Poor,1.1,0.7,1.8,0.39,0.53,0,0,0,0.39,2,6,30,6
2019-01-15,0.03,1.7,0.6,0.37,0.14,Poor,1.4,0.2,1.7,0.13,0.18,0,0,0,0.13,1,6,30,6
2019-01-15,0.06,2.9,2.2,0.76,0.43,Average,1.8,1.1,2.9,0.38,0.38,0,0,0,0.38,2,6,31,6
2019-01-15,0.05,2.7,2.3,0.88,0.81,Very Good,1.6,1.1,2.7,0.42,0.42,0,0.04,0.04,0.42,1,6,31,6
2019-01-15,0,0.1,0.2,2,-,-,0,0.1,0.1,1,1,0,0,0,1,2,6,32,6
2019-01-15,0,0.1,0.1,1,-,-,0.1,0.1,0.1,0.5,0.5,0,0,0,0.5,1,6,32,6
2019-01-15,0.31,15,16.5,1.1,0.53,Good,6.9,8.1,15,0.54,0.54,0,0.04,0.04,0.54,2,6,33,6
2019-01-15,0.32,16.1,19.9,1.23,0.91,Excellent,6.7,9.4,16.1,0.58,0.58,0,0.09,0.09,0.58,1,6,33,6
2019-01-15,0.12,5.6,4.1,0.73,0.94,Excellent,3.6,1.9,5.6,0.35,0.35,0,0.04,0.04,0.35,2,6,34,6
2019-01-15,0.11,5.6,6.2,1.11,0.85,Excellent,2.6,3,5.6,0.54,0.54,0,0.04,0.04,0.54,1,6,34,6
2019-01-15,0,0.1,0,0,-,-,0.1,0,0.1,0,0,0,0,0,0,2,6,35,6
2019-01-15,0,0.2,0.3,1.25,-,-,0.1,0.1,0.2,0.5,0.5,0,0.25,0.25,0.5,1,6,35,6
2019-01-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,36,6
2019-01-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,36,6
2019-01-15,0.31,15.2,16.7,1.1,0.2,Below Average,9.4,5.8,15.2,0.38,0.55,0,0,0,0.38,2,7,37,6
2019-01-15,0.33,16.8,16.5,0.98,0.43,Average,11.3,5.6,16.8,0.33,0.49,0,0.01,0.01,0.33,1,7,37,6
2019-01-15,0.49,7.4,7.4,1,0.37,Average,4.8,2.6,7.4,0.35,0.5,0,0,0,0.35,2,7,38,6
2019-01-15,0.58,9.8,8.3,0.84,0.23,Below Average,7.1,2.8,9.8,0.28,0.42,0,0.01,0.01,0.28,1,7,38,6
2019-01-15,0.51,7.8,9.3,1.19,0.24,Below Average,4.6,3.2,7.8,0.41,0.6,0,0,0,0.41,2,7,39,6
2019-01-15,0.42,7,8.2,1.18,0.71,Very Good,4.2,2.8,7,0.4,0.59,0,0,0,0.4,1,7,39,6
2019-01-15,0.17,8.3,7.9,0.95,0.07,Poor,5.1,3.3,8.3,0.39,0.47,0,0.01,0.01,0.39,2,8,40,6
2019-01-15,0.15,7.8,5.2,0.66,0.19,Below Average,5.4,2.4,7.8,0.31,0.33,0,0.01,0.01,0.31,1,8,40,6
2019-01-15,0.19,4.7,4.1,0.87,0.2,Below Average,2.7,2,4.7,0.43,0.43,0,0.01,0.01,0.43,2,9,41,6
2019-01-15,0.16,4.2,2.7,0.65,0.25,Below Average,2.9,1.3,4.2,0.32,0.32,0,0.03,0.03,0.32,1,9,41,6
2019-01-15,0.13,3.1,2.1,0.66,0.62,Good,2.1,1,3.1,0.32,0.32,0,0.02,0.02,0.32,2,9,42,6
2019-01-15,0.1,2.7,2.2,0.82,0.77,Very Good,1.6,1.1,2.7,0.41,0.41,0,0,0,0.41,1,9,42,6
2019-01-15,0.69,17,19.7,1.16,0.06,Poor,10.4,6.6,17,0.39,0.58,0,0,0,0.39,2,9,43,6
2019-01-15,0.74,19.4,17.9,0.92,0.24,Below Average,13.5,5.9,19.4,0.31,0.46,0,0.01,0.01,0.31,1,9,43,6
2019-01-15,0.95,66.9,56.2,0.84,0.5,Average,27.8,20.4,48.3,0.42,0.48,0.18,0.12,0.08,0.38,1,10,44,6
