Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,1,1,1,1,0,2,2,0,0,9,8,0,Max Hisatake,4,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,1,1,0
0,0,0,1,0,1,0,0,0,0,9,8,0,Ahmad Muhammad,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,0,0,2,0,2,2,0,2,1,9,9,1,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,1,2,0,2
0,0,0,0,0,0,0,0,0,0,9,9,0,Anthony Mosley,0,1,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,1,0,0,9,9,0,Max Hisatake,3,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,9,9,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,9,9,0,Otis Reale,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,9,10,0,Max Hisatake,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,9,10,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,1,1,0,0,0
0,0,0,1,0,1,0,0,0,0,9,10,0,Otis Reale,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,1,0,1
0,0,1,1,1,0,0,0,0,0,9,10,0,Jake Bruns,3,0,Illinois Tech Scarlet Hawks,1,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,10,0,Kohl Linder,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,9,11,0,Milos Dugalic,2,0,Illinois Tech Scarlet Hawks,0,0,0,1,1,1,1,0
0,0,0,4,2,2,0,0,0,0,9,11,0,Jake Bruns,5,0,Illinois Tech Scarlet Hawks,3,1,2,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,9,11,0,Calvin Schmitz,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,1,0,0,0,2,1,1,0,9,11,1,Jake Digiorgio,1,0,Illinois Tech Scarlet Hawks,0,0,0,2,0,0,0,0
1,0,0,0,0,0,0,0,0,0,9,11,0,Zach Parduhn,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,2,0,2,0,0,0,0,9,12,0,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,2,0,2
0,1,1,1,1,0,0,0,0,0,9,12,1,Jake Digiorgio,2,1,Illinois Tech Scarlet Hawks,0,0,0,2,1,1,1,0
0,1,0,2,1,1,0,0,0,0,9,12,1,Anthony Mosley,2,0,Illinois Tech Scarlet Hawks,0,0,0,1,0,2,1,1
0,0,1,2,1,1,2,2,0,0,9,12,0,Ahmad Muhammad,5,0,Illinois Tech Scarlet Hawks,1,1,0,1,0,1,0,1
1,0,1,1,1,0,2,1,1,4,9,12,1,Max Hisatake,3,0,Illinois Tech Scarlet Hawks,0,0,0,2,0,1,1,0
0,0,1,0,0,0,0,0,0,1,9,13,1,Milos Dugalic,0,0,Illinois Tech Scarlet Hawks,0,0,0,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,9,13,0,Jake Digiorgio,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,13,0,Anthony Mosley,0,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,2,0,0,9,13,0,Ahmad Muhammad,2,0,Illinois Tech Scarlet Hawks,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,9,13,0,Parker Joncus,0,0,Illinois Tech Scarlet Hawks,1,0,1,0,1,0,0,0
