Game_ID,Score_Dif,Session_num,Time
14,-3,1,19.75
14,-1,1,19.4
14,-3,1,19.066666666666666
14,0,1,18.65
14,-3,1,18.383333333333333
14,-1,1,17.683333333333334
14,-4,1,17.35
14,-2,1,15.766666666666667
14,-4,1,15.233333333333333
14,-7,1,14.35
14,-5,1,14.133333333333333
14,-3,1,13.816666666666666
14,0,1,11.25
14,-1,1,11.1
14,-4,1,10.5
14,-2,1,9.3
14,-4,1,8.033333333333333
14,-2,1,7.65
14,0,1,7.166666666666667
14,-2,1,6.65
14,0,1,5.45
14,-2,1,5.133333333333334
14,-4,1,4.55
14,-6,1,4.1
14,-4,1,3.1166666666666667
14,-2,1,2.85
14,0,1,2.3333333333333335
14,-2,1,1.4833333333333334
14,0,1,1.2166666666666668
14,-3,1,0.7166666666666667
14,-5,1,0.5666666666666667
14,-7,1,0.31666666666666665
14,-9,2,19.5
14,-11,2,19.033333333333335
14,-12,2,18.55
14,-14,2,18.016666666666666
14,-12,2,17.75
14,-11,2,17.183333333333334
14,-13,2,16.85
14,-11,2,16.65
14,-9,2,16.0
14,-11,2,15.683333333333334
14,-9,2,15.4
14,-11,2,13.483333333333333
14,-9,2,13.116666666666667
14,-11,2,12.95
14,-13,2,12.516666666666667
14,-11,2,11.866666666666667
14,-9,2,11.2
14,-11,2,10.45
14,-9,2,9.916666666666666
14,-11,2,9.8
14,-9,2,8.533333333333333
14,-7,2,7.666666666666667
14,-9,2,7.416666666666667
14,-7,2,7.216666666666667
14,-5,2,6.966666666666667
14,-3,2,6.0
14,-5,2,5.583333333333333
14,-2,2,5.266666666666667
14,-3,2,4.866666666666667
14,0,2,4.7
14,2,2,4.116666666666666
14,-1,2,2.966666666666667
14,1,2,1.75
14,3,2,0.45
14,5,2,0.15
14,2,2,0.06666666666666667
14,3,2,0.03333333333333333
