Ast,Block,DefReb,FGA,FGM,FGm,FTA,FTM,FTm,Foul,Game_ID,Lineup_ID,OffReb,Player_Name,Pts,Stl,Team_Name,Three_FGA,Three_FGM,Three_FGm,TtlReb,Turnover,Two_FGA,Two_FGM,Two_FGm
0,0,1,4,3,1,0,0,0,0,15,1,0,Jackson Smith,6,1,Dominican (IL) Stars,0,0,0,1,1,4,3,1
0,1,0,1,1,0,0,0,0,1,15,1,0,Isaac Moore,3,0,Dominican (IL) Stars,1,1,0,0,0,0,0,0
0,0,0,3,1,2,0,0,0,0,15,1,0,Connor Dartt,2,0,Dominican (IL) Stars,0,0,0,0,0,3,1,2
1,0,1,2,1,1,2,2,0,0,15,1,0,Sean Ek,5,0,Dominican (IL) Stars,1,1,0,1,2,1,0,1
1,0,1,2,0,2,0,0,0,0,15,1,2,Dennis Handy,0,0,Dominican (IL) Stars,1,0,1,3,0,1,0,1
0,0,1,0,0,0,0,0,0,1,15,2,0,Jackson Smith,0,0,Dominican (IL) Stars,0,0,0,1,1,0,0,0
0,1,0,1,0,1,0,0,0,0,15,2,0,Isaac Moore,0,0,Dominican (IL) Stars,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,2,0,Sean Ek,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,1,2,1,1,2,1,1,0,15,2,1,Dennis Handy,3,0,Dominican (IL) Stars,1,0,1,2,0,1,1,0
0,0,0,0,0,0,0,0,0,0,15,2,0,Marcus Watson,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,15,3,0,Isaac Moore,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,15,3,0,Dennis Handy,3,0,Dominican (IL) Stars,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,3,0,Marcus Watson,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,3,0,Arrin Westbrook,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,15,3,0,Christopher Burel,0,0,Dominican (IL) Stars,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,15,4,0,Isaac Moore,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,4,0,Marcus Watson,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,4,0,Arrin Westbrook,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,4,0,Christopher Burel,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,15,4,0,Jackson Smith,0,0,Dominican (IL) Stars,0,0,0,0,0,0,0,0
