Uploaded_Date,Percentage_Time,Poss_Per_Game,Points,PPP,Rank,Rating,FG_miss,FG_Made,FGA,FG,Adjusted_FG,Percent_Turnover,Percent_FT,Percent_Shooting_Foul,Percent_Score,Format_ID,Category_ID,Element_ID,Team_ID
2019-01-26,0.05,4.5,4.1,0.92,0.78,Very Good,2,1.5,3.5,0.43,0.49,0.14,0.13,0.08,0.42,1,3,21,3
2019-01-26,0.16,13.4,11.5,0.86,0.46,Average,5.9,3.9,9.9,0.4,0.48,0.18,0.11,0.08,0.37,2,3,22,3
2019-01-26,0.25,21.5,20.5,0.95,0.87,Excellent,8.7,7.6,16.3,0.47,0.53,0.15,0.13,0.1,0.44,1,3,22,3
2019-01-26,0.07,6.3,5.3,0.84,0.66,Very Good,2.5,2.1,4.6,0.45,0.49,0.19,0.11,0.08,0.42,2,3,23,3
2019-01-26,0.11,9.2,9,0.98,0.83,Excellent,3.4,3.8,7.2,0.53,0.55,0.15,0.08,0.07,0.48,1,3,23,3
2019-01-26,0.05,3.9,4.4,1.13,0.23,Below Average,1.9,1.5,3.4,0.44,0.58,0.03,0.11,0.1,0.47,2,4,24,3
2019-01-26,0.02,1.3,2,1.52,0.98,Excellent,0.3,0.8,1.1,0.71,0.85,0.1,0.14,0.14,0.67,1,4,24,3
2019-01-26,0.1,8.3,6.4,0.78,0.61,Good,3.4,2.3,5.7,0.4,0.5,0.25,0.07,0.06,0.33,2,4,25,3
2019-01-26,0.14,11.4,11.4,1,0.94,Excellent,3.8,4.3,8.1,0.54,0.63,0.21,0.12,0.08,0.45,1,4,25,3
2019-01-26,0.03,2.2,2.3,1.06,0.47,Average,0.9,0.8,1.7,0.48,0.57,0.09,0.14,0.11,0.51,2,4,26,3
2019-01-26,0.03,2.4,2.7,1.1,0.65,Very Good,1.1,1.1,2.1,0.5,0.56,0.05,0.08,0.08,0.51,1,4,26,3
2019-01-26,0,0.3,0,0,-,-,0.1,0,0.1,0,0,0.5,0,0,0,2,5,27,3
2019-01-26,0,0.1,0.2,3,-,-,0,0.1,0.1,1,1.5,0,0,0,1,1,5,27,3
2019-01-26,0.02,1.8,1.4,0.79,0.55,Good,0.7,0.5,1.2,0.42,0.47,0.21,0.14,0.14,0.39,2,5,28,3
2019-01-26,0.01,1,0.9,0.88,0.61,Good,0.3,0.4,0.6,0.6,0.65,0.31,0.06,0.06,0.44,1,5,28,3
2019-01-26,0.56,28.6,25.7,0.9,0.72,Very Good,19.3,9.3,28.6,0.33,0.45,0,0,0,0.33,2,6,29,3
2019-01-26,0.44,22.3,23.3,1.04,0.86,Excellent,14,8.3,22.3,0.37,0.51,0,0.01,0.01,0.37,1,6,29,3
2019-01-26,0.02,1.2,0.6,0.47,0.79,Very Good,1,0.2,1.2,0.16,0.24,0,0,0,0.16,2,6,30,3
2019-01-26,0.03,1.4,1.2,0.83,0.77,Very Good,1,0.4,1.4,0.3,0.41,0,0,0,0.3,1,6,30,3
2019-01-26,0.04,2.2,1.9,0.86,0.21,Below Average,1.3,0.9,2.2,0.43,0.43,0,0.03,0.03,0.43,2,6,31,3
2019-01-26,0.04,2.2,1.1,0.51,0.1,Poor,1.6,0.6,2.2,0.26,0.26,0,0,0,0.26,1,6,31,3
2019-01-26,0,0.2,0.1,0.67,-,-,0.1,0.1,0.2,0.33,0.33,0,0,0,0.33,2,6,32,3
2019-01-26,0,0.2,0.1,0.67,-,-,0.1,0.1,0.2,0.33,0.33,0,0,0,0.33,1,6,32,3
2019-01-26,0.35,17.8,18.9,1.06,0.71,Very Good,8.7,9.1,17.8,0.51,0.51,0,0.05,0.05,0.51,2,6,33,3
2019-01-26,0.42,21.1,26.3,1.25,0.93,Excellent,8.3,12.9,21.1,0.61,0.61,0,0.06,0.06,0.61,1,6,33,3
2019-01-26,0.06,2.9,2.6,0.89,0.75,Very Good,1.6,1.3,2.9,0.44,0.44,0,0.04,0.04,0.44,2,6,34,3
2019-01-26,0.1,5.1,5.6,1.11,0.87,Excellent,2.3,2.8,5.1,0.54,0.54,0,0.03,0.03,0.54,1,6,34,3
2019-01-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,35,3
2019-01-26,0,0.1,0.3,2,-,-,0,0.1,0.1,1,1,0,0,0,1,1,6,35,3
2019-01-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,36,3
2019-01-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,36,3
2019-01-26,0.39,19.9,19.3,0.97,0.68,Very Good,13.2,6.7,19.9,0.34,0.49,0,0,0,0.34,2,7,37,3
2019-01-26,0.27,13.4,16,1.19,0.94,Excellent,8.2,5.3,13.4,0.39,0.59,0,0.02,0.02,0.39,1,7,37,3
2019-01-26,0.58,11.4,10.4,0.91,0.65,Very Good,7.9,3.6,11.4,0.31,0.45,0,0.01,0.01,0.31,2,7,38,3
2019-01-26,0.55,7.4,9.3,1.24,0.98,Excellent,4.4,3,7.4,0.4,0.61,0,0.03,0.03,0.4,1,7,38,3
2019-01-26,0.43,8.4,8.9,1.06,0.62,Good,5.3,3.1,8.4,0.37,0.53,0,0,0,0.37,2,7,39,3
2019-01-26,0.45,6,6.8,1.13,0.57,Good,3.8,2.3,6,0.38,0.56,0,0,0,0.38,1,7,39,3
2019-01-26,0.13,6.5,4.4,0.68,0.82,Very Good,4.6,1.9,6.5,0.3,0.34,0,0,0,0.3,2,8,40,3
2019-01-26,0.15,7.6,6.7,0.88,0.81,Very Good,4.8,2.8,7.6,0.37,0.44,0,0.01,0.01,0.37,1,8,40,3
2019-01-26,0.11,3.1,2.1,0.68,0.7,Very Good,2.1,1.1,3.1,0.34,0.34,0,0,0,0.34,2,9,41,3
2019-01-26,0.12,2.8,2.7,0.98,0.96,Excellent,1.4,1.3,2.8,0.48,0.48,0,0.02,0.02,0.48,1,9,41,3
2019-01-26,0.13,3.6,2.4,0.66,0.62,Good,2.4,1.2,3.6,0.33,0.33,0,0,0,0.33,2,9,42,3
2019-01-26,0.09,2.1,1.4,0.67,0.4,Average,1.4,0.7,2.1,0.33,0.33,0,0,0,0.33,1,9,42,3
2019-01-26,0.76,21.8,21.2,0.97,0.69,Very Good,14.8,7.1,21.8,0.32,0.49,0,0,0,0.32,2,9,43,3
2019-01-26,0.78,17.5,19.2,1.1,0.81,Very Good,11.2,6.3,17.5,0.36,0.54,0,0.01,0.01,0.36,1,9,43,3
2019-01-26,0.98,70.1,66,0.94,0.89,Excellent,25.8,24.1,49.9,0.48,0.54,0.18,0.14,0.09,0.44,1,10,44,3
2019-01-26,0.02,1.1,1.3,1.11,0.91,Excellent,0.4,0.4,0.8,0.5,0.63,0.11,0.22,0.06,0.5,1,10,45,3
2019-01-26,0.08,5.5,5.9,1.08,0.95,Excellent,1.8,1.9,3.7,0.53,0.61,0.15,0.21,0.07,0.52,1,10,46,3
2019-01-26,1,91.2,87.2,0.96,0.1,Poor,37.1,31.2,68.3,0.46,0.53,0.15,0.13,0.09,0.43,2,1,1,4
2019-01-26,1,91.7,82.1,0.9,0.6,Good,38.6,30.5,69.1,0.44,0.5,0.15,0.12,0.08,0.42,1,10,1,4
2019-01-26,0.2,18.6,18.7,1,0.37,Average,7,6.7,13.7,0.49,0.56,0.16,0.13,0.11,0.46,2,1,9,4
2019-01-26,0.2,18.6,18.7,1,0.37,Average,7,6.7,13.7,0.49,0.56,0.16,0.13,0.11,0.46,2,2,9,4
2019-01-26,0.18,16.5,15.5,0.94,0.36,Average,6.4,6.1,12.4,0.49,0.54,0.17,0.1,0.08,0.44,1,2,9,4
2019-01-26,0.18,16.5,15.5,0.94,0.36,Average,6.4,6.1,12.4,0.49,0.54,0.17,0.1,0.08,0.44,1,10,9,4
2019-01-26,0.8,72.6,68.5,0.94,0.08,Poor,30.1,24.5,54.5,0.45,0.52,0.15,0.13,0.08,0.43,2,1,10,4
2019-01-26,0.82,75.2,66.6,0.89,0.67,Very Good,32.2,24.4,56.6,0.43,0.49,0.15,0.12,0.08,0.41,1,10,10,4
2019-01-26,0.03,2.8,1.7,0.61,0.71,Very Good,1.8,0.6,2.5,0.26,0.33,0.07,0.06,0.06,0.26,2,1,11,4
2019-01-26,0.02,2,1.1,0.55,0.18,Below Average,1.3,0.4,1.6,0.23,0.27,0.11,0.08,0.05,0.26,1,10,11,4
2019-01-26,0.06,4.6,3.9,0.86,0.41,Average,1.7,1.5,3.2,0.46,0.54,0.22,0.09,0.09,0.39,2,1,12,4
2019-01-26,0.08,5.9,5.6,0.95,0.78,Very Good,2.6,2,4.6,0.44,0.51,0.13,0.1,0.07,0.43,1,10,12,4
2019-01-26,0.04,2.6,2.7,1.04,0.07,Poor,1.1,1.1,2.2,0.49,0.55,0.1,0.1,0.08,0.48,2,1,13,4
2019-01-26,0.04,3.3,1.5,0.47,0.04,Poor,1.7,0.5,2.2,0.24,0.26,0.27,0.07,0.05,0.21,1,10,13,4
2019-01-26,0.12,8.5,7.3,0.86,0.45,Average,3.9,2.7,6.7,0.41,0.48,0.16,0.07,0.03,0.38,2,1,14,4
2019-01-26,0.11,8.5,7.6,0.89,0.67,Very Good,4,3,7,0.43,0.48,0.12,0.07,0.04,0.4,1,10,14,4
2019-01-26,0.96,69.4,64.8,0.93,0.1,Poor,28.8,23.2,51.9,0.45,0.51,0.15,0.13,0.09,0.43,2,1,15,4
2019-01-26,0.04,3.2,3.6,1.15,0.08,Poor,1.3,1.3,2.6,0.51,0.65,0.1,0.1,0.07,0.47,2,1,16,4
2019-01-26,0.03,2.1,1.9,0.92,0.29,Below Average,0.6,0.4,0.9,0.39,0.47,0.18,0.36,0.08,0.49,2,1,17,4
2019-01-26,0.27,24.2,23.4,0.97,0.23,Below Average,13.5,8.3,21.8,0.38,0.51,0.06,0.05,0.04,0.37,2,2,2,4
2019-01-26,0.18,16.3,15.4,0.95,0.66,Very Good,8.4,5.5,13.9,0.39,0.52,0.1,0.06,0.04,0.37,1,2,2,4
2019-01-26,0.09,8.6,8.1,0.94,0.07,Poor,3.6,2.9,6.5,0.45,0.51,0.15,0.12,0.09,0.42,2,2,3,4
2019-01-26,0.1,9,7,0.78,0.6,Good,4.1,2.5,6.6,0.38,0.44,0.19,0.12,0.09,0.35,1,2,3,4
2019-01-26,0.08,6.9,4.9,0.71,0.88,Excellent,2.8,1.8,4.6,0.39,0.39,0.23,0.14,0.12,0.36,2,2,4,4
2019-01-26,0.11,9.9,8.7,0.88,0.68,Very Good,4,3.5,7.5,0.47,0.47,0.12,0.15,0.1,0.44,1,2,4,4
2019-01-26,0.09,8.3,10.8,1.3,0.04,Poor,2.1,4.5,6.6,0.68,0.68,0.09,0.16,0.15,0.66,2,2,18,4
2019-01-26,0.1,9.4,9.9,1.06,0.47,Average,3.3,4.4,7.7,0.57,0.57,0.08,0.11,0.11,0.56,1,2,18,4
2019-01-26,0.07,6.1,7.2,1.18,0.15,Below Average,2,2.8,4.8,0.58,0.59,0.06,0.17,0.16,0.6,2,2,19,4
2019-01-26,0.08,6.9,6.7,0.96,0.24,Below Average,2.6,2.5,5.1,0.5,0.5,0.12,0.19,0.17,0.5,1,2,19,4
2019-01-26,0.04,3.7,4,1.09,0.11,Poor,1.7,1.4,3.2,0.45,0.57,0.1,0.07,0.06,0.43,2,2,6,4
2019-01-26,0.07,6.1,6.3,1.04,0.84,Excellent,3.3,2.4,5.6,0.42,0.53,0.04,0.04,0.04,0.42,1,2,6,4
2019-01-26,0.04,4,3.4,0.84,0.32,Average,1.7,1.2,2.9,0.4,0.44,0.13,0.16,0.12,0.41,2,2,5,4
2019-01-26,0.07,6.1,3.8,0.63,0.14,Poor,3.2,1.3,4.5,0.29,0.31,0.12,0.16,0.1,0.33,1,2,5,4
2019-01-26,0.03,2.3,2.1,0.91,0.61,Good,1.2,0.8,2,0.4,0.42,0.02,0.14,0.14,0.42,2,2,8,4
2019-01-26,0.03,3.2,3,0.95,0.49,Average,1.5,1.1,2.6,0.42,0.49,0.1,0.07,0.03,0.42,1,2,8,4
2019-01-26,0.02,1.9,1.5,0.81,0.52,Good,0.8,0.6,1.4,0.41,0.46,0.19,0.08,0.08,0.36,2,2,7,4
2019-01-26,0.03,2.5,1.8,0.71,0.31,Average,1.4,0.7,2.2,0.34,0.39,0.13,0.04,0.04,0.31,1,2,7,4
2019-01-26,0.07,6.7,3.1,0.47,0.48,Average,0.5,0.2,0.7,0.31,0.31,0.59,0.32,0.02,0.28,2,2,20,4
2019-01-26,0.07,5.9,3.9,0.66,0.93,Excellent,0.5,0.5,0.9,0.5,0.56,0.55,0.3,0.01,0.36,1,2,20,4
2019-01-26,0.06,5.6,5.1,0.92,0.23,Below Average,2.5,1.8,4.4,0.42,0.49,0.1,0.12,0.09,0.42,2,3,21,4
2019-01-26,0.08,7.6,5.2,0.69,0.15,Below Average,3.8,1.9,5.8,0.34,0.36,0.13,0.13,0.08,0.35,1,3,21,4
2019-01-26,0.2,18.1,17.6,0.97,0.1,Poor,8.5,6.5,15,0.43,0.51,0.1,0.1,0.08,0.42,2,3,22,4
2019-01-26,0.18,16.8,14.3,0.85,0.59,Good,8,5.2,13.2,0.39,0.46,0.13,0.1,0.08,0.39,1,3,22,4
2019-01-26,0.11,10.1,8.3,0.82,0.72,Very Good,4.5,2.9,7.5,0.39,0.43,0.16,0.14,0.12,0.39,2,3,23,4
2019-01-26,0.13,12.3,11.3,0.92,0.65,Very Good,5.1,4.5,9.6,0.47,0.49,0.11,0.13,0.09,0.44,1,3,23,4
2019-01-26,0.02,1.6,1.7,1.1,0.28,Below Average,0.8,0.7,1.5,0.46,0.59,0.03,0.03,0.03,0.43,2,4,24,4
2019-01-26,0.02,1.5,1.4,0.93,0.46,Average,0.7,0.6,1.3,0.48,0.54,0.14,0,0,0.41,1,4,24,4
2019-01-26,0.12,10.6,9.7,0.92,0.18,Below Average,4.9,3.5,8.5,0.42,0.51,0.14,0.08,0.07,0.39,2,4,25,4
2019-01-26,0.1,9.4,7.5,0.8,0.51,Good,3.9,2.7,6.6,0.41,0.48,0.22,0.08,0.06,0.36,1,4,25,4
2019-01-26,0.04,3.2,3.4,1.07,0.45,Average,1.7,1.2,2.8,0.41,0.51,0,0.13,0.12,0.45,2,4,26,4
2019-01-26,0.03,2.4,2.5,1.04,0.54,Good,1.1,1,2.1,0.48,0.59,0.09,0.04,0.02,0.44,1,4,26,4
2019-01-26,0,0.2,0.1,0.5,-,-,0.1,0.1,0.2,0.33,0.33,0.25,0,0,0.25,2,5,27,4
2019-01-26,0,0.1,0.1,1,-,-,0,0,0,-,-,0.5,0.5,0,0.5,1,5,27,4
2019-01-26,0.03,2.5,1.5,0.6,0.81,Very Good,1.1,0.5,1.6,0.32,0.4,0.28,0.09,0.06,0.26,2,5,28,4
2019-01-26,0.02,1.6,1.1,0.68,0.3,Below Average,0.9,0.5,1.4,0.35,0.4,0.16,0,0,0.29,1,5,28,4
2019-01-26,0.54,29.2,28.3,0.97,0.36,Average,18.9,10.3,29.2,0.35,0.48,0,0.01,0.01,0.35,2,6,29,4
2019-01-26,0.44,25.2,24.8,0.99,0.7,Very Good,15.9,9.2,25.2,0.37,0.49,0,0.01,0.01,0.37,1,6,29,4
2019-01-26,0.03,1.7,1.4,0.84,0.21,Below Average,1.2,0.5,1.7,0.31,0.42,0,0,0,0.31,2,6,30,4
2019-01-26,0.02,1.1,0.5,0.45,0.22,Below Average,0.9,0.2,1.1,0.15,0.23,0,0,0,0.15,1,6,30,4
2019-01-26,0.05,2.5,2.3,0.92,0.12,Poor,1.4,1.1,2.5,0.44,0.44,0,0.04,0.04,0.44,2,6,31,4
2019-01-26,0.06,3.2,1.4,0.45,0.04,Poor,2.5,0.7,3.2,0.22,0.22,0,0.05,0.05,0.22,1,6,31,4
2019-01-26,0,0.2,0.1,0.67,-,-,0.1,0.1,0.2,0.33,0.33,0,0,0,0.33,2,6,32,4
2019-01-26,0,0.1,0.1,2,-,-,0,0.1,0.1,1,1,0,0,0,1,1,6,32,4
2019-01-26,0.33,18.2,23.5,1.3,0.05,Poor,6.9,11.3,18.2,0.62,0.62,0,0.06,0.06,0.62,2,6,33,4
2019-01-26,0.37,20.8,22.5,1.08,0.39,Average,9.8,11.1,20.8,0.53,0.53,0,0.04,0.04,0.53,1,6,33,4
2019-01-26,0.09,4.6,3.7,0.81,0.9,Excellent,2.8,1.8,4.6,0.39,0.39,0,0.05,0.05,0.39,2,6,34,4
2019-01-26,0.13,7.5,7.2,0.96,0.54,Good,4,3.5,7.5,0.47,0.47,0,0.04,0.04,0.47,1,6,34,4
2019-01-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,35,4
2019-01-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,35,4
2019-01-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,36,4
2019-01-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,36,4
