lineup_players,ast,block,defreb,fga,fg_made,fg_miss,fta,ft_made,ft_miss,foul,lineup_score,min,offreb,oppo_ast,oppo_block,oppo_defreb,oppo_fga,oppo_fg_made,oppo_fg_miss,oppo_fta,oppo_ft_made,oppo_ft_miss,oppo_foul,oppo_offreb,oppo_score,oppo_stl,oppo_three_fga,oppo_three_fg_made,oppo_three_fg_miss,oppo_ttlreb,oppo_turnover,oppo_two_fga,oppo_two_fg_made,oppo_two_fg_miss,plusminus,stl,three_fga,three_fg_made,three_fg_miss,ttlreb,turnover,two_fga,two_fg_made,two_fg_miss
"Ahmad Muhammad,Capriest Gardner,Jake Digiorgio,Otis Reale,Parker Joncus",0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,-2,0,0,0,0,0,0,0,0,0
"Ahmad Muhammad,Cody Mattson,Jake Bruns,Jake Digiorgio,Kohl Linder",0,0,1,2,1,1,0,0,0,1,2,1.55,0,0,0,1,2,1,1,2,2,0,0,0,4,0,0,0,0,1,0,2,1,1,-2,0,0,0,0,1,0,2,1,1
"Ahmad Muhammad,Cody Mattson,Jake Bruns,Jake Digiorgio,Max Hisatake",0,0,1,2,0,2,0,0,0,0,0,1.08333333333333,0,0,0,2,2,1,1,0,0,0,0,0,2,0,0,0,0,2,0,2,1,1,-2,0,0,0,0,1,0,2,0,2
"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Kohl Linder,Max Hisatake,Parker Joncus",1,0,0,1,1,0,0,0,0,0,2,1.08333333333333,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0
"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Kohl Linder,Milos Dugalic",0,0,1,0,0,0,0,0,0,0,0,0.633333333333335,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Kohl Linder,Parker Joncus",0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Milos Dugalic",1,0,1,4,1,3,4,4,0,1,7,3.1500000000000004,2,3,1,1,7,4,3,1,1,0,2,2,10,0,1,1,0,3,0,6,3,3,-3,0,2,1,1,3,0,2,0,2
"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Max Hisatake,Parker Joncus",1,0,5,6,3,3,4,3,1,4,9,4.13333333333333,1,1,1,2,6,2,4,10,7,3,2,0,11,1,1,0,1,2,2,5,2,3,-1,1,1,0,1,6,4,5,3,2
"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Milos Dugalic,Ricardo Whitehead",0,0,2,3,2,1,0,0,0,1,4,1.95,1,0,0,1,3,1,2,2,0,2,0,0,3,1,2,1,1,1,0,1,0,1,1,0,0,0,0,3,2,3,2,1
"Ahmad Muhammad,Jake Bruns,Jake Digiorgio,Otis Reale,Parker Joncus",0,0,2,2,0,2,2,2,0,1,2,1.33333333333333,1,0,0,1,2,0,2,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,2,0,0,0,0,3,0,2,0,2
