,chosen_player,pair,min,metric_name,metric_desc,metric_value
0,Max Hisatake,"Max Hisatake,Milos Dugalic",231.583333333333,plusminus,Net performance Evaluation Metric,63.0
0,Otis Reale,"Kohl Linder,Otis Reale",34.4666666666667,plusminus,Net performance Evaluation Metric,3.0
0,Otis Reale,"Milos Dugalic,Otis Reale",195.7,plusminus,Net performance Evaluation Metric,7.0
0,Otis Reale,"Jake Bruns,Otis Reale",100.85,plusminus,Net performance Evaluation Metric,13.0
0,Otis Reale,"Max Hisatake,Otis Reale",346.066666666667,plusminus,Net performance Evaluation Metric,18.0
0,Otis Reale,"Otis Reale,Ricardo Whitehead",38.2,plusminus,Net performance Evaluation Metric,16.0
0,Milos Dugalic,"Kohl Linder,Milos Dugalic",35.15,plusminus,Net performance Evaluation Metric,21.0
0,Milos Dugalic,"Anthony Mosley,Milos Dugalic",134.85,plusminus,Net performance Evaluation Metric,57.0
0,Milos Dugalic,"Max Hisatake,Milos Dugalic",231.583333333333,plusminus,Net performance Evaluation Metric,63.0
0,Milos Dugalic,"Ahmad Muhammad,Milos Dugalic",241.416666666667,plusminus,Net performance Evaluation Metric,65.0
0,Milos Dugalic,"Jake Digiorgio,Milos Dugalic",277.116666666667,plusminus,Net performance Evaluation Metric,59.0
0,Cody Mattson,"Cody Mattson,Parker Joncus",5.15,plusminus,Net performance Evaluation Metric,-1.0
0,Cody Mattson,"Capriest Gardner,Cody Mattson",1.85,plusminus,Net performance Evaluation Metric,0.0
0,Cody Mattson,"Brett Ott,Cody Mattson",3.13333333333333,plusminus,Net performance Evaluation Metric,0.0
0,Cody Mattson,"Cody Mattson,Jalen Lomax",6.96666666666666,plusminus,Net performance Evaluation Metric,9.0
0,Cody Mattson,"Cody Mattson,Milos Dugalic",6.05,plusminus,Net performance Evaluation Metric,4.0
0,Parker Joncus,"Jake Digiorgio,Parker Joncus",427.783333333333,plusminus,Net performance Evaluation Metric,2.0
0,Parker Joncus,"Jake Bruns,Parker Joncus",130.9,plusminus,Net performance Evaluation Metric,6.0
