,chosen_player,pair,min,metric_name,metric_desc,metric_value
0,Anthony Mosley,"Anthony Mosley,Max Hisatake,Milos Dugalic",80.4333333333334,plusminus,Net performance Evaluation Metric,42.0
0,Anthony Mosley,"Ahmad Muhammad,Anthony Mosley,Max Hisatake",169.916666666667,plusminus,Net performance Evaluation Metric,44.0
0,Anthony Mosley,"Ahmad Muhammad,Anthony Mosley,Milos Dugalic",83.7666666666667,plusminus,Net performance Evaluation Metric,50.0
0,Anthony Mosley,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio",191.616666666667,plusminus,Net performance Evaluation Metric,59.0
0,Anthony Mosley,"Anthony Mosley,Jake Digiorgio,Max Hisatake",206.983333333333,plusminus,Net performance Evaluation Metric,47.0
0,Ben Wagner,"Ben Wagner,Calvin Schmitz,Kohl Linder",1.05,plusminus,Net performance Evaluation Metric,0.0
0,Ben Wagner,"Ben Wagner,Brett Ott,Jalen Lomax",1.05,plusminus,Net performance Evaluation Metric,0.0
0,Ben Wagner,"Ben Wagner,Jalen Lomax,Kohl Linder",1.05,plusminus,Net performance Evaluation Metric,0.0
0,Ben Wagner,"Ben Wagner,Brett Ott,Calvin Schmitz",1.05,plusminus,Net performance Evaluation Metric,0.0
0,Ben Wagner,"Ben Wagner,Brett Ott,Kohl Linder",1.05,plusminus,Net performance Evaluation Metric,0.0
0,Ahmad Muhammad,"Ahmad Muhammad,Anthony Mosley,Max Hisatake",169.916666666667,plusminus,Net performance Evaluation Metric,44.0
0,Ahmad Muhammad,"Ahmad Muhammad,Jake Digiorgio,Max Hisatake",279.516666666667,plusminus,Net performance Evaluation Metric,51.0
0,Ahmad Muhammad,"Ahmad Muhammad,Anthony Mosley,Milos Dugalic",83.7666666666667,plusminus,Net performance Evaluation Metric,50.0
0,Ahmad Muhammad,"Ahmad Muhammad,Anthony Mosley,Jake Digiorgio",191.616666666667,plusminus,Net performance Evaluation Metric,59.0
0,Ahmad Muhammad,"Ahmad Muhammad,Jake Digiorgio,Milos Dugalic",176.166666666667,plusminus,Net performance Evaluation Metric,74.0
