Game_ID,Score_Dif,Session_num,Time
17,-2,1,19.766666666666666
17,1,1,19.383333333333333
17,-1,1,18.816666666666666
17,1,1,18.633333333333333
17,4,1,17.666666666666668
17,1,1,17.233333333333334
17,4,1,16.35
17,2,1,16.116666666666667
17,-1,1,15.483333333333333
17,-3,1,13.4
17,-1,1,13.016666666666667
17,-3,1,12.416666666666666
17,-1,1,11.4
17,-4,1,11.233333333333333
17,-7,1,10.95
17,-9,1,10.383333333333333
17,-7,1,9.616666666666667
17,-5,1,9.1
17,-7,1,8.9
17,-10,1,7.616666666666667
17,-12,1,6.816666666666666
17,-10,1,6.6
17,-13,1,6.1
17,-15,1,5.05
17,-16,1,4.016666666666667
17,-14,1,3.7333333333333334
17,-16,1,3.45
17,-13,1,3.283333333333333
17,-11,1,1.65
17,-14,1,1.3
17,-11,1,0.5333333333333333
17,-9,2,19.85
17,-12,2,19.416666666666668
17,-14,2,18.75
17,-12,2,18.55
17,-10,2,17.783333333333335
17,-8,2,16.216666666666665
17,-6,2,15.383333333333333
17,-7,2,14.35
17,-10,2,13.7
17,-8,2,13.483333333333333
17,-7,2,12.75
17,-5,2,11.983333333333333
17,-8,2,11.633333333333333
17,-5,2,11.466666666666667
17,-2,2,10.8
17,-5,2,10.083333333333334
17,-2,2,9.433333333333334
17,0,2,8.216666666666667
17,-2,2,6.533333333333333
17,0,2,5.983333333333333
17,1,2,5.4
17,-1,2,5.2
17,2,2,4.833333333333333
17,0,2,4.533333333333333
17,2,2,3.6
17,-1,2,2.4
17,1,2,2.0
17,3,2,1.1666666666666667
17,2,2,0.23333333333333334
17,3,2,0.21666666666666667
